Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 22091

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.23600,-0.64204,0.51873,-0.11558,0.52033,0.82927,1023.139,25.7,0.95857,0.27707,0.06619,0.00010,
0.01563,0.23600,-0.00225,0.51873,-0.12675,0.51106,0.81861,,,0.95856,0.27708,0.06618,0.00013,
0.02344,0.40789,-0.10889,0.51873,-0.12529,0.52375,0.82733,,,0.95856,0.27711,0.06616,0.00016,
0.03125,0.13286,-0.17997,0.58884,-0.11752,0.51448,0.82539,,,0.95856,0.27712,0.06614,0.00020,
0.03906,0.20162,-0.67758,0.62389,-0.13209,0.52570,0.82539,,,0.95855,0.27714,0.06609,0.00023,
0.04688,0.30475,-0.25106,0.55378,-0.13501,0.53253,0.83460,,,0.95855,0.27716,0.06606,0.00026,
0.05469,0.30475,-0.35769,0.55378,-0.13112,0.51887,0.82684,,,0.95855,0.27718,0.06603,0.00028,
0.06250,0.16724,-0.14443,0.44862,-0.11461,0.51936,0.82394,,,0.95854,0.27720,0.06601,0.00031,
0.07031,0.16724,-0.42878,0.41357,-0.10101,0.52131,0.81279,,,0.95854,0.27721,0.06597,0.00033,
0.07813,0.27038,0.10438,0.41357,-0.14812,0.52863,0.83217,,,0.95854,0.27723,0.06597,0.00036,
0.08594,0.06411,-0.07334,0.34346,-0.13355,0.52863,0.83799,,,0.95854,0.27724,0.06596,0.00038,
0.09375,0.13286,0.21101,0.30841,-0.13986,0.53156,0.83508,,,0.95853,0.27725,0.06597,0.00040,
0.10156,0.16724,-0.53541,0.27336,-0.10684,0.51643,0.82006,,,0.95853,0.27726,0.06593,0.00041,
0.10938,0.02973,-0.42878,0.34346,-0.11510,0.51448,0.82006,,,0.95853,0.27726,0.06589,0.00042,
0.11719,0.27038,-0.42878,0.16820,-0.11218,0.52472,0.82781,,,0.95853,0.27728,0.06586,0.00042,
0.12500,0.16724,0.10438,0.30841,-0.11315,0.51692,0.82733,,,0.95853,0.27729,0.06586,0.00044,
0.13281,0.30475,0.21101,0.20325,-0.12286,0.51741,0.82006,,,0.95852,0.27731,0.06587,0.00046,
0.14063,0.23600,-0.00225,0.09809,-0.11170,0.51301,0.82054,,,0.95851,0.27733,0.06587,0.00047,
0.14844,0.16724,-0.07334,0.27336,-0.14229,0.52863,0.82684,,,0.95851,0.27734,0.06586,0.00048,
0.15625,0.13286,-0.00225,0.41357,-0.12869,0.52375,0.83460,,,0.95851,0.27735,0.06585,0.00051,
0.16406,0.13286,0.24655,0.09809,-0.13840,0.52570,0.83217,,,0.95851,0.27736,0.06587,0.00052,
0.17188,0.16724,-0.32215,0.20325,-0.11218,0.52180,0.82248,,,0.95850,0.27737,0.06584,0.00052,
0.17969,0.02973,-0.14443,0.20325,-0.11412,0.51497,0.81521,,,0.95850,0.27737,0.06583,0.00053,
0.18750,0.02973,-0.17997,0.27336,-0.11267,0.52424,0.82103,,,0.95850,0.27738,0.06581,0.00055,
0.19531,0.16724,0.13992,0.16820,-0.12772,0.52863,0.82975,,,0.95850,0.27739,0.06582,0.00056,
0.20313,0.20162,0.38872,-0.04213,-0.12772,0.52228,0.83411,,,0.95849,0.27740,0.06584,0.00057,
0.21094,0.09848,-0.14443,-0.00707,-0.11849,0.51204,0.82297,,,0.95849,0.27741,0.06583,0.00056,
0.21875,0.13286,-0.35769,0.20325,-0.11510,0.51936,0.82151,,,0.95849,0.27742,0.06581,0.00057,
0.22656,0.13286,-0.03780,-0.07718,-0.13306,0.51643,0.82297,,,0.95849,0.27743,0.06581,0.00056,
0.23438,0.27038,0.21101,-0.07718,-0.11121,0.52082,0.81618,,,0.95848,0.27744,0.06582,0.00056,
0.24219,0.33913,0.31764,0.02798,-0.11072,0.51936,0.82054,,,0.95848,0.27747,0.06584,0.00057,
0.25000,0.23600,0.03329,0.06303,-0.09956,0.51155,0.81182,,,0.95847,0.27748,0.06584,0.00057,
0.25781,0.27038,0.21101,0.13314,-0.14472,0.53546,0.84138,,,0.95847,0.27750,0.06585,0.00058,
