Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 22091

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.41310,0.07220,-0.23146,-0.20107,0.92406,0.34274,1021.726,24.3,0.00000,0.00000,0.00000,0.00000,
0.01563,0.31010,0.00060,-0.44082,-0.21267,0.92454,0.34177,,,0.00000,0.00000,0.00000,0.00000,
0.02344,0.27576,-0.03520,-0.33614,-0.20542,0.91678,0.33934,,,0.00000,0.00000,0.00000,0.00000,
0.03125,0.44744,-0.03520,-0.30124,-0.21751,0.90805,0.33836,,,0.00000,0.00000,0.00000,0.00000,
0.03906,0.20709,0.10799,-0.65017,-0.21751,0.91047,0.33788,,,0.81851,0.55988,0.12876,0.00000,
0.04688,0.24142,0.07220,-0.71996,-0.22380,0.91629,0.33496,,,0.81850,0.55988,0.12879,-0.00004,
0.05469,0.10408,-0.14259,-0.78975,-0.20542,0.91532,0.33934,,,0.81850,0.55988,0.12881,-0.00009,
0.06250,0.24142,0.00060,-0.92932,-0.21026,0.92697,0.33545,,,0.81849,0.55989,0.12885,-0.00014,
0.07031,0.06975,0.07220,-0.89443,-0.20880,0.91193,0.33350,,,0.81849,0.55988,0.12888,-0.00019,
0.07813,0.06975,-0.10679,-1.24336,-0.21171,0.91532,0.34565,,,0.81848,0.55988,0.12893,-0.00027,
0.08594,0.06975,-0.07100,-1.24336,-0.21364,0.91096,0.33934,,,0.81848,0.55987,0.12897,-0.00034,
0.09375,0.34443,0.07220,-1.20847,-0.21461,0.91290,0.34371,,,0.81847,0.55988,0.12902,-0.00041,
0.10156,0.24142,0.07220,-1.20847,-0.22477,0.90708,0.33982,,,0.81846,0.55988,0.12907,-0.00047,
0.10938,0.24142,-0.14259,-1.17357,-0.21751,0.91193,0.34177,,,0.81845,0.55988,0.12911,-0.00055,
0.11719,0.27576,-0.10679,-1.27825,-0.21219,0.92018,0.34614,,,0.81844,0.55989,0.12915,-0.00062,
0.12500,0.27576,-0.17839,-1.10379,-0.21026,0.92745,0.34322,,,0.81843,0.55989,0.12918,-0.00069,
0.13281,0.17275,-0.17839,-1.10379,-0.21122,0.92309,0.34760,,,0.81843,0.55989,0.12921,-0.00076,
0.14063,0.27576,-0.07100,-1.03400,-0.21509,0.91872,0.34225,,,0.81842,0.55990,0.12925,-0.00083,
0.14844,0.06975,0.03640,-0.96421,-0.22041,0.90805,0.33982,,,0.81841,0.55989,0.12929,-0.00088,
0.15625,0.31010,-0.03520,-0.75485,-0.21461,0.91824,0.33934,,,0.81840,0.55991,0.12932,-0.00093,
0.16406,0.27576,-0.03520,-0.65017,-0.22525,0.91726,0.34031,,,0.81839,0.55991,0.12934,-0.00097,
0.17188,0.17275,-0.03520,-0.58039,-0.21654,0.91629,0.33885,,,0.81839,0.55992,0.12936,-0.00100,
0.17969,0.17275,-0.03520,-0.61528,-0.21364,0.90805,0.34031,,,0.81838,0.55992,0.12938,-0.00104,
0.18750,0.24142,-0.17839,-0.61528,-0.20058,0.91484,0.33982,,,0.81837,0.55993,0.12939,-0.00108,
0.19531,0.61912,-0.10679,-0.75485,-0.20735,0.91824,0.34079,,,0.81835,0.55996,0.12942,-0.00113,
0.20313,0.51611,0.07220,-0.75485,-0.21896,0.91532,0.34079,,,0.81833,0.55998,0.12945,-0.00118,
0.21094,0.44744,0.03640,-0.61528,-0.21751,0.91047,0.33788,,,0.81831,0.56000,0.12947,-0.00121,
0.21875,0.48177,-0.07100,-0.85953,-0.21509,0.90756,0.33885,,,0.81829,0.56002,0.12950,-0.00127,
0.22656,0.48177,-0.17839,-0.71996,-0.21896,0.90902,0.34128,,,0.81828,0.56004,0.12952,-0.00132,
0.23438,0.44744,-0.07100,-0.61528,-0.22138,0.91824,0.34274,,,0.81826,0.56006,0.12954,-0.00136,
0.24219,0.31010,-0.07100,-0.71996,-0.21606,0.91824,0.34663,,,0.81825,0.56007,0.12956,-0.00141,
0.25000,0.51611,-0.21419,-0.71996,-0.21122,0.91338,0.34128,,,0.81823,0.56009,0.12958,-0.00146,
0.25781,0.34443,-0.17839,-0.61528,-0.21074,0.91581,0.33885,,,0.81822,0.56011,0.12959,-0.00150,
0.26563,0.34443,-0.03520,-0.51060,-0.22090,0.91581,0.33885,,,0.81821,0.56012,0.12961,-0.00154,
0.27344,0.51611,-0.14259,-0.44082,-0.22283,0.90902,0.34322,,,0.81819,0.56015,0.12962,-0.00157,
0.28125,0.34443,0.00060,-0.40592,-0.22718,0.91532,0.34517,,,0.81817,0.56016,0.12963,-0.00160,
0.28906,0.34443,-0.35738,-0.51060,-0.20735,0.92745,0.34760,,,0.81816,0.56018,0.12963,-0.00164,
0.29688,0.48177,-0.17839,-0.58039,-0.21461,0.92309,0.33739,,,0.81815,0.56020,0.12965,-0.00169,
0.30469,0.58478,-0.14259,-0.37103,-0.21461,0.92115,0.34322,,,0.81813,0.56023,0.12965,-0.00172,
0.31250,0.44744,0.07220,-0.51060,-0.21606,0.91096,0.34031,,,0.81811,0.56025,0.12968,-0.00175,
0.32031,0.48177,-0.10679,-0.54549,-0.21509,0.91387,0.34225,,,0.81809,0.56027,0.12969,-0.00179,
0.32813,0.55045,-0.10679,-0.33614,-0.20348,0.91290,0.34809,,,0.81807,0.56030,0.12970,-0.00181,
0.33594,0.61912,-0.14259,-0.54549,-0.21703,0.91726,0.34177,,,0.81805,0.56033,0.12971,-0.00186,
0.34375,0.44744,-0.14259,-0.47571,-0.22138,0.90756,0.34371,,,0.81803,0.56035,0.12972,-0.00189,
0.35156,0.48177,-0.17839,-0.65017,-0.19961,0.91144,0.34225,,,0.81802,0.56037,0.12974,-0.00194,
0.35938,0.44744,-0.17839,-0.58039,-0.21026,0.91629,0.33691,,,0.81800,0.56039,0.12975,-0.00198,
0.36719,0.37877,-0.24998,-0.68507,-0.21026,0.92260,0.34031,,,0.81799,0.56041,0.12976,-0.00203,
0.37500,0.55045,-0.14259,-0.54549,-0.22283,0.91726,0.33982,,,0.81797,0.56043,0.12977,-0.00207,
0.38281,0.48177,-0.21419,-0.68507,-0.20977,0.90805,0.33836,,,0.81795,0.56045,0.12979,-0.00212,
0.39063,0.65345,-0.17839,-0.82464,-0.21171,0.91193,0.33836,,,0.81793,0.56048,0.12981,-0.00218,
0.39844,0.68779,-0.35738,-0.78975,-0.21848,0.91290,0.34760,,,0.81790,0.56051,0.12982,-0.00225,
0.40625,0.61912,-0.32158,-0.96421,-0.21558,0.92357,0.33691,,,0.81788,0.56054,0.12984,-0.00232,
0.41406,0.48177,-0.21419,-1.03400,-0.21703,0.91193,0.34468,,,0.81787,0.56056,0.12986,-0.00239,
