Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 22091

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,-0.27834,-0.51451,-0.01574,-0.12655,0.97477,0.16718,1022.085,26.4,0.76210,0.64107,0.09070,-0.00109,
0.01563,0.03176,-0.44383,0.01911,-0.13911,0.96416,0.16718,,,0.76210,0.64107,0.09068,-0.00111,
0.02344,-0.07161,-0.51451,-0.15514,-0.12848,0.96705,0.17305,,,0.76211,0.64107,0.09066,-0.00114,
0.03125,0.13513,-0.83254,0.08881,-0.12896,0.97043,0.16620,,,0.76211,0.64108,0.09061,-0.00117,
0.03906,0.27295,-0.65586,-0.15514,-0.13814,0.96512,0.16718,,,0.76210,0.64109,0.09058,-0.00121,
0.04688,0.16958,-1.15058,0.08881,-0.12945,0.97043,0.17158,,,0.76210,0.64110,0.09052,-0.00126,
0.05469,0.27295,-0.76187,0.12366,-0.12800,0.96995,0.16424,,,0.76209,0.64111,0.09047,-0.00128,
0.06250,0.30741,0.05090,0.22820,-0.13428,0.97139,0.17011,,,0.76208,0.64113,0.09047,-0.00127,
0.07031,0.23849,-0.65586,0.05396,-0.14056,0.96850,0.17011,,,0.76207,0.64114,0.09043,-0.00130,
0.07813,0.20404,-0.79721,0.01911,-0.13476,0.97091,0.17060,,,0.76207,0.64115,0.09039,-0.00133,
0.08594,0.30741,-0.83254,0.05396,-0.13186,0.97381,0.16816,,,0.76206,0.64117,0.09034,-0.00137,
0.09375,0.27295,-0.33782,-0.05059,-0.12993,0.96753,0.17207,,,0.76205,0.64118,0.09033,-0.00139,
0.10156,0.34186,-0.58518,0.01911,-0.12655,0.97670,0.16375,,,0.76204,0.64120,0.09029,-0.00142,
0.10938,0.34186,-0.26714,0.08881,-0.12655,0.97381,0.17207,,,0.76203,0.64122,0.09028,-0.00142,
0.11719,0.30741,-0.23180,-0.05059,-0.13428,0.97718,0.16767,,,0.76201,0.64124,0.09027,-0.00144,
0.12500,0.27295,0.12157,-0.05059,-0.12800,0.96512,0.16277,,,0.76200,0.64125,0.09028,-0.00144,
0.13281,0.20404,-0.30248,-0.05059,-0.13089,0.96705,0.16326,,,0.76199,0.64126,0.09026,-0.00146,
0.14063,0.44523,-0.44383,-0.12029,-0.13138,0.96995,0.17550,,,0.76198,0.64128,0.09024,-0.00148,
0.14844,0.41077,-0.33782,0.01911,-0.12945,0.97091,0.17109,,,0.76196,0.64130,0.09023,-0.00150,
0.15625,0.27295,-0.62052,0.05396,-0.13089,0.97139,0.16914,,,0.76195,0.64132,0.09019,-0.00153,
0.16406,0.41077,-0.79721,0.22820,-0.13089,0.96995,0.16620,,,0.76194,0.64134,0.09014,-0.00155,
0.17188,0.34186,-0.37315,0.01911,-0.12171,0.97477,0.17109,,,0.76193,0.64136,0.09012,-0.00157,
