Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 22091

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.44138,-0.87466,0.32908,0.16171,0.51717,0.83707,1021.883,25.1,0.95845,0.27201,-0.08590,0.00007,
0.01563,0.47565,-0.94667,0.32908,0.15832,0.52108,0.83562,,,0.95844,0.27204,-0.08597,0.00008,
0.02344,0.54421,-0.76665,0.22354,0.14862,0.50545,0.82401,,,0.95842,0.27208,-0.08602,0.00008,
0.03125,0.26999,-0.91066,0.32908,0.17577,0.52156,0.83417,,,0.95841,0.27209,-0.08609,0.00009,
0.03906,0.26999,-0.94667,0.36426,0.16462,0.52401,0.83610,,,0.95840,0.27211,-0.08616,0.00009,
0.04688,0.40710,-1.01868,0.29390,0.15783,0.50642,0.82304,,,0.95839,0.27213,-0.08623,0.00010,
0.05469,0.61277,-0.91066,0.25872,0.15783,0.50740,0.82208,,,0.95837,0.27217,-0.08629,0.00010,
0.06250,0.30427,-1.01868,0.39944,0.15880,0.49763,0.81676,,,0.95836,0.27219,-0.08637,0.00011,
0.07031,0.54421,-0.98267,0.18836,0.16462,0.52352,0.83997,,,0.95834,0.27222,-0.08644,0.00011,
0.07813,0.50993,-0.76665,0.11801,0.15638,0.52303,0.83175,,,0.95833,0.27226,-0.08649,0.00010,
0.08594,0.64704,-0.76665,0.15319,0.15977,0.52938,0.83368,,,0.95831,0.27230,-0.08654,0.00010,
0.09375,0.20143,-1.01868,0.36426,0.16559,0.51180,0.81482,,,0.95830,0.27231,-0.08661,0.00011,
0.10156,0.37282,-1.12669,0.32908,0.17335,0.50300,0.81386,,,0.95829,0.27233,-0.08669,0.00011,
0.10938,0.23571,-1.23471,0.29390,0.17189,0.51570,0.82014,,,0.95828,0.27234,-0.08678,0.00011,
0.11719,0.40710,-0.76665,0.32908,0.15783,0.51082,0.82981,,,0.95827,0.27237,-0.08684,0.00012,
0.12500,0.50993,-0.80265,0.22354,0.15395,0.50838,0.82981,,,0.95825,0.27240,-0.08689,0.00012,
0.13281,0.47565,-0.98267,0.36426,0.15589,0.49861,0.81869,,,0.95824,0.27243,-0.08696,0.00013,
0.14063,0.50993,-1.09069,0.04765,0.16607,0.52254,0.83997,,,0.95822,0.27246,-0.08704,0.00012,
0.14844,0.44138,-1.01868,0.11801,0.16898,0.52596,0.83417,,,0.95821,0.27249,-0.08710,0.00011,
0.15625,0.40710,-0.76665,0.08283,0.16365,0.50007,0.82014,,,0.95820,0.27252,-0.08716,0.00010,
0.16406,0.44138,-0.80265,0.08283,0.16317,0.50300,0.82401,,,0.95818,0.27254,-0.08721,0.00009,
0.17188,0.44138,-0.69464,0.11801,0.16850,0.50496,0.81047,,,0.95817,0.27257,-0.08726,0.00009,
0.17969,0.68132,-0.62263,-0.02271,0.15735,0.52059,0.83465,,,0.95815,0.27262,-0.08730,0.00008,
0.18750,0.57849,-0.47861,-0.05789,0.16123,0.51180,0.82885,,,0.95814,0.27266,-0.08733,0.00007,
0.19531,0.44138,-0.73064,0.04765,0.15638,0.50105,0.82159,,,0.95813,0.27268,-0.08738,0.00007,
0.20313,0.30427,-0.65863,0.04765,0.17529,0.51815,0.82643,,,0.95812,0.27270,-0.08742,0.00006,
0.21094,0.23571,-0.87466,0.01247,0.17480,0.52205,0.83126,,,0.95811,0.27272,-0.08748,0.00004,
0.21875,0.33854,-0.58662,0.01247,0.16074,0.52450,0.83562,,,0.95810,0.27274,-0.08752,0.00004,
0.22656,0.37282,-0.73064,0.15319,0.15832,0.50251,0.82401,,,0.95809,0.27276,-0.08757,0.00003,
0.23438,0.47565,-0.76665,0.22354,0.16365,0.50984,0.82063,,,0.95807,0.27279,-0.08762,0.00004,
0.24219,0.44138,-0.98267,0.04765,0.16462,0.51180,0.82111,,,0.95806,0.27282,-0.08769,0.00003,
0.25000,0.57849,-0.69464,-0.09307,0.15880,0.52303,0.84045,,,0.95805,0.27286,-0.08773,0.00001,
0.25781,0.61277,-0.62263,-0.05789,0.15347,0.52205,0.83997,,,0.95803,0.27290,-0.08777,-0.00000,
0.26563,0.33854,-1.01868,0.04765,0.17189,0.50154,0.81869,,,0.95802,0.27292,-0.08784,-0.00002,
0.27344,0.50993,-0.73064,-0.05789,0.16850,0.51912,0.82256,,,0.95800,0.27296,-0.08788,-0.00003,
0.28125,0.26999,-0.83866,0.08283,0.17141,0.51424,0.81821,,,0.95799,0.27297,-0.08794,-0.00004,
0.28906,0.74988,-0.62263,-0.05789,0.15880,0.51424,0.83271,,,0.95798,0.27302,-0.08798,-0.00005,
0.29688,0.54421,-0.62263,-0.02271,0.15492,0.49812,0.83271,,,0.95796,0.27306,-0.08802,-0.00006,
0.30469,0.47565,-0.55062,-0.02271,0.16074,0.50349,0.82208,,,0.95795,0.27309,-0.08806,-0.00007,
0.31250,0.47565,-0.69464,-0.02271,0.16074,0.53329,0.83271,,,0.95794,0.27312,-0.08810,-0.00008,
0.32031,0.40710,-0.91066,0.01247,0.17189,0.52303,0.83417,,,0.95792,0.27315,-0.08816,-0.00009,
0.32813,0.64704,-0.80265,-0.02271,0.16123,0.52205,0.83803,,,0.95791,0.27319,-0.08821,-0.00011,
0.33594,0.33854,-0.83866,0.08283,0.16510,0.50154,0.81337,,,0.95790,0.27321,-0.08827,-0.00011,
0.34375,0.30427,-0.98267,0.22354,0.16510,0.50691,0.81482,,,0.95788,0.27323,-0.08834,-0.00012,
0.35156,0.37282,-0.98267,0.08283,0.16898,0.51424,0.82594,,,0.95787,0.27325,-0.08840,-0.00013,
0.35938,0.74988,-0.73064,0.18836,0.16607,0.51863,0.83755,,,0.95785,0.27330,-0.08845,-0.00012,
0.36719,0.74988,-0.76665,0.08283,0.15202,0.50886,0.83223,,,0.95783,0.27335,-0.08851,-0.00013,
0.37500,0.57849,-1.09069,0.18836,0.17286,0.51766,0.82788,,,0.95782,0.27339,-0.08858,-0.00013,
0.38281,0.57849,-0.87466,0.08283,0.17335,0.52352,0.83078,,,0.95780,0.27342,-0.08864,-0.00014,
0.39063,0.54421,-0.91066,0.15319,0.17432,0.51717,0.82885,,,0.95779,0.27346,-0.08870,-0.00014,
0.39844,0.54421,-0.65863,0.15319,0.15492,0.50203,0.82740,,,0.95777,0.27349,-0.08875,-0.00014,
0.40625,0.61277,-0.80265,0.22354,0.16365,0.50545,0.81241,,,0.95775,0.27353,-0.08880,-0.00014,
0.41406,0.26999,-0.87466,0.39944,0.16026,0.49714,0.81241,,,0.95774,0.27355,-0.08887,-0.00013,
0.42188,0.50993,-0.87466,0.15319,0.16947,0.52694,0.84142,,,0.95773,0.27358,-0.08893,-0.00013,
0.42969,0.68132,-0.83866,0.25872,0.16171,0.51912,0.83707,,,0.95771,0.27362,-0.08899,-0.00013,
