Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 22091

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.09424,0.00362,-0.57167,0.12502,0.96015,0.30031,1022.737,24.7,0.80663,0.58692,-0.06978,-0.00048,
0.01563,0.16293,0.00362,-0.71137,0.11532,0.94844,0.31435,,,0.80663,0.58693,-0.06975,-0.00051,
0.02344,0.16293,0.00362,-0.64152,0.10949,0.93868,0.29935,,,0.80662,0.58694,-0.06973,-0.00055,
0.03125,0.36899,0.28856,-0.78122,0.10610,0.96845,0.30951,,,0.80661,0.58696,-0.06968,-0.00058,
0.03906,0.30030,0.28856,-0.67645,0.10852,0.96845,0.31193,,,0.80660,0.58698,-0.06964,-0.00060,
0.04688,0.47202,0.25295,-0.78122,0.09979,0.96747,0.31193,,,0.80658,0.58701,-0.06959,-0.00063,
0.05469,0.33465,0.21733,-0.71137,0.10367,0.94014,0.31048,,,0.80657,0.58704,-0.06955,-0.00066,
0.06250,0.43768,0.11047,-0.74630,0.10804,0.94649,0.31435,,,0.80655,0.58706,-0.06952,-0.00070,
0.07031,0.26596,0.32418,-0.71137,0.10076,0.94795,0.31048,,,0.80654,0.58708,-0.06947,-0.00072,
0.07813,0.47202,0.35980,-0.74630,0.11046,0.94893,0.30128,,,0.80652,0.58711,-0.06942,-0.00075,
0.08594,0.57505,0.14609,-0.74630,0.10852,0.96894,0.30999,,,0.80650,0.58715,-0.06938,-0.00078,
0.09375,0.57505,0.50227,-0.85107,0.11726,0.96894,0.31193,,,0.80648,0.58718,-0.06932,-0.00080,
0.10156,0.50636,0.25295,-0.57167,0.11823,0.96942,0.30661,,,0.80646,0.58721,-0.06928,-0.00082,
0.10938,0.26596,0.50227,-0.53674,0.09736,0.95820,0.32209,,,0.80645,0.58723,-0.06924,-0.00083,
0.11719,0.26596,0.50227,-0.53674,0.10755,0.95966,0.32499,,,0.80645,0.58725,-0.06919,-0.00084,
0.12500,0.40333,0.35980,-0.64152,0.10173,0.96210,0.32209,,,0.80643,0.58727,-0.06914,-0.00086,
0.13281,0.50636,0.35980,-0.71137,0.12162,0.97284,0.31628,,,0.80641,0.58730,-0.06909,-0.00088,
0.14063,0.40333,0.03924,-0.74630,0.11338,0.96015,0.32306,,,0.80640,0.58733,-0.06906,-0.00092,
0.14844,0.60939,0.39542,-0.71137,0.11435,0.96015,0.30515,,,0.80637,0.58737,-0.06901,-0.00094,
0.15625,0.64374,0.64475,-0.67645,0.09639,0.96210,0.31967,,,0.80635,0.58740,-0.06895,-0.00094,
0.16406,0.50636,0.43104,-0.71137,0.09882,0.95332,0.31096,,,0.80633,0.58744,-0.06890,-0.00096,
0.17188,0.43768,0.46665,-0.46689,0.09979,0.96308,0.31144,,,0.80632,0.58746,-0.06885,-0.00097,
0.17969,0.47202,0.35980,-0.53674,0.11046,0.95186,0.31193,,,0.80630,0.58749,-0.06881,-0.00098,
0.18750,0.64374,0.35980,-0.29227,0.10561,0.95674,0.31725,,,0.80628,0.58753,-0.06878,-0.00098,
0.19531,0.54071,0.39542,-0.22242,0.11095,0.95137,0.30854,,,0.80626,0.58756,-0.06875,-0.00097,
0.20313,0.54071,0.43104,-0.29227,0.10173,0.96796,0.30564,,,0.80624,0.58759,-0.06871,-0.00097,
0.21094,0.54071,0.25295,-0.15257,0.11386,0.97528,0.31774,,,0.80622,0.58762,-0.06869,-0.00097,
0.21875,0.57505,0.28856,-0.15257,0.11240,0.96942,0.29741,,,0.80619,0.58765,-0.06867,-0.00096,
0.22656,0.50636,0.28856,-0.22242,0.11871,0.96357,0.30370,,,0.80618,0.58768,-0.06865,-0.00096,
0.23438,0.30030,0.53789,-0.22242,0.10464,0.94307,0.30709,,,0.80617,0.58770,-0.06861,-0.00095,
0.24219,0.23162,0.35980,-0.25734,0.10755,0.93624,0.30564,,,0.80616,0.58771,-0.06858,-0.00095,
0.25000,0.33465,0.35980,-0.32719,0.10173,0.94844,0.30757,,,0.80615,0.58773,-0.06854,-0.00095,
0.25781,0.57505,0.21733,-0.57167,0.12065,0.96991,0.30903,,,0.80612,0.58777,-0.06851,-0.00097,
0.26563,0.50636,0.39542,-0.36212,0.11677,0.96308,0.31193,,,0.80611,0.58780,-0.06847,-0.00097,
0.27344,0.64374,0.07486,-0.43197,0.11483,0.96308,0.29644,,,0.80608,0.58783,-0.06845,-0.00099,
0.28125,0.43768,0.57351,-0.25734,0.09542,0.95625,0.31096,,,0.80607,0.58786,-0.06841,-0.00098,
0.28906,0.50636,0.46665,-0.32719,0.10367,0.95576,0.31290,,,0.80605,0.58789,-0.06837,-0.00097,
0.29688,0.67808,0.35980,-0.29227,0.10173,0.95722,0.30709,,,0.80602,0.58793,-0.06834,-0.00097,
0.30469,0.78111,0.11047,-0.36212,0.11338,0.96015,0.29789,,,0.80599,0.58797,-0.06832,-0.00098,
0.31250,0.64374,0.28856,-0.29227,0.11629,0.95186,0.29983,,,0.80597,0.58801,-0.06829,-0.00099,
0.32031,0.57505,0.21733,-0.32719,0.11386,0.95088,0.30419,,,0.80594,0.58804,-0.06827,-0.00099,
0.32813,0.50636,0.28856,-0.29227,0.10416,0.95771,0.30951,,,0.80593,0.58807,-0.06824,-0.00099,
0.33594,0.26596,0.35980,-0.32719,0.11143,0.96650,0.32161,,,0.80592,0.58809,-0.06821,-0.00100,
0.34375,0.43768,0.28856,-0.43197,0.10852,0.96308,0.31241,,,0.80590,0.58811,-0.06817,-0.00101,
0.35156,0.33465,0.35980,-0.53674,0.11629,0.94112,0.30467,,,0.80589,0.58813,-0.06813,-0.00102,
0.35938,0.40333,0.25295,-0.36212,0.11483,0.94844,0.30515,,,0.80587,0.58816,-0.06810,-0.00103,
0.36719,0.40333,0.25295,-0.53674,0.10124,0.94893,0.31241,,,0.80586,0.58818,-0.06807,-0.00105,
0.37500,0.60939,0.21733,-0.36212,0.11580,0.94746,0.31725,,,0.80584,0.58822,-0.06804,-0.00105,
0.38281,0.64374,0.28856,-0.39704,0.10658,0.97040,0.31338,,,0.80581,0.58825,-0.06801,-0.00106,
0.39063,0.60939,0.11047,-0.50182,0.11095,0.97430,0.31774,,,0.80579,0.58829,-0.06798,-0.00108,
0.39844,0.50636,0.28856,-0.64152,0.11726,0.97528,0.31435,,,0.80577,0.58832,-0.06794,-0.00110,
0.40625,0.47202,0.14609,-0.57167,0.10124,0.95283,0.32112,,,0.80575,0.58835,-0.06791,-0.00113,
0.41406,0.33465,0.25295,-0.46689,0.10804,0.94649,0.31628,,,0.80574,0.58837,-0.06788,-0.00114,
0.42188,0.43768,0.35980,-0.53674,0.10076,0.95088,0.31870,,,0.80572,0.58840,-0.06784,-0.00115,
0.42969,0.57505,0.25295,-0.53674,0.12454,0.97040,0.29983,,,0.80570,0.58843,-0.06780,-0.00117,
0.43750,0.43768,0.00362,-0.53674,0.11338,0.96552,0.32257,,,0.80568,0.58846,-0.06778,-0.00120,
0.44531,0.50636,0.18171,-0.71137,0.11240,0.96601,0.31483,,,0.80566,0.58849,-0.06774,-0.00123,
0.45313,0.43768,0.32418,-0.71137,0.10318,0.95869,0.31822,,,0.80565,0.58852,-0.06770,-0.00125,
0.46094,0.26596,0.25295,-0.60659,0.10367,0.95625,0.32403,,,0.80564,0.58853,-0.06766,-0.00127,
0.46875,0.16293,0.25295,-0.81615,0.10221,0.94795,0.31532,,,0.80563,0.58855,-0.06761,-0.00131,
0.47656,0.54071,0.03924,-0.74630,0.11580,0.95966,0.31677,,,0.80561,0.58858,-0.06758,-0.00134,
0.48438,0.54071,0.03924,-0.95585,0.11483,0.95625,0.30564,,,0.80559,0.58861,-0.06754,-0.00139,
0.49219,0.50636,0.00362,-0.78122,0.11823,0.95186,0.30903,,,0.80557,0.58864,-0.06751,-0.00143,
0.50000,0.43768,0.21733,-0.92092,0.10513,0.96015,0.32161,,,0.80555,0.58867,-0.06746,-0.00147,
0.50781,0.50636,0.35980,-0.88600,0.09882,0.96991,0.31290,,,0.80553,0.58870,-0.06740,-0.00150,
0.51563,0.47202,0.28856,-0.85107,0.11046,0.97235,0.31193,,,0.80551,0.58873,-0.06735,-0.00154,
0.52344,0.47202,0.00362,-1.06062,0.11095,0.96845,0.31290,,,0.80550,0.58876,-0.06731,-0.00159,
0.53125,0.47202,0.14609,-0.81615,0.10658,0.94356,0.30612,,,0.80548,0.58879,-0.06727,-0.00163,
0.53906,0.36899,0.03924,-0.67645,0.10755,0.94795,0.31144,,,0.80546,0.58882,-0.06724,-0.00166,
0.54688,0.33465,0.32418,-0.53674,0.10901,0.94405,0.30661,,,0.80545,0.58884,-0.06720,-0.00168,
0.55469,0.36899,0.21733,-0.64152,0.12357,0.96942,0.31338,,,0.80544,0.58886,-0.06716,-0.00170,
0.56250,0.47202,0.18171,-0.57167,0.11483,0.96796,0.30854,,,0.80542,0.58889,-0.06713,-0.00173,
0.57031,0.36899,0.14609,-0.71137,0.11871,0.96747,0.30370,,,0.80540,0.58891,-0.06709,-0.00176,
0.57813,0.26596,0.18171,-0.60659,0.10998,0.94795,0.30177,,,0.80539,0.58893,-0.06706,-0.00178,
0.58594,0.16293,0.21733,-0.57167,0.10513,0.94356,0.31096,,,0.80539,0.58894,-0.06702,-0.00180,
0.59375,0.16293,0.25295,-0.67645,0.10416,0.94844,0.30806,,,0.80538,0.58896,-0.06698,-0.00183,
0.60156,0.26596,0.28856,-0.71137,0.11726,0.96845,0.29644,,,0.80537,0.58897,-0.06694,-0.00186,
0.60938,0.16293,0.11047,-0.92092,0.11871,0.96601,0.30128,,,0.80537,0.58899,-0.06690,-0.00190,
0.61719,0.23162,-0.06762,-0.85107,0.11920,0.96308,0.30370,,,0.80536,0.58900,-0.06687,-0.00195,
0.62500,0.05990,0.21733,-0.71137,0.11143,0.95039,0.30564,,,0.80536,0.58901,-0.06683,-0.00198,
0.63281,0.05990,0.03924,-0.78122,0.11240,0.95820,0.31435,,,0.80535,0.58902,-0.06679,-0.00202,
0.64063,0.16293,0.21733,-0.92092,0.10367,0.96796,0.31919,,,0.80535,0.58903,-0.06674,-0.00206,
0.64844,0.05990,0.11047,-0.71137,0.10027,0.94795,0.29596,,,0.80535,0.58904,-0.06671,-0.00210,
0.65625,0.02556,-0.03200,-0.50182,0.11532,0.94649,0.30467,,,0.80534,0.58904,-0.06669,-0.00213,
0.66406,0.05990,-0.10323,-0.71137,0.11095,0.94795,0.30854,,,0.80534,0.58905,-0.06667,-0.00217,
0.67188,0.05990,-0.03200,-0.67645,0.11726,0.94356,0.30419,,,0.80534,0.58905,-0.06664,-0.00221,
0.67969,-0.00879,-0.03200,-0.64152,0.11143,0.96796,0.31919,,,0.80534,0.58905,-0.06662,-0.00224,
