Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 22091

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,1.13107,0.60801,-1.30107,0.20374,0.96207,0.19142,1021.969,25.3,0.77307,0.61994,-0.13434,-0.00044,
0.01563,1.06179,0.46579,-1.19563,0.20423,0.96110,0.19481,,,0.77302,0.62001,-0.13426,-0.00048,
0.02344,1.13107,0.11023,-0.98476,0.20816,0.96452,0.19433,,,0.77298,0.62007,-0.13422,-0.00051,
0.03125,1.09643,0.14579,-1.01990,0.21209,0.96550,0.20014,,,0.77293,0.62014,-0.13416,-0.00055,
0.03906,1.23499,0.11023,-0.94961,0.19392,0.96843,0.20546,,,0.77288,0.62021,-0.13412,-0.00059,
0.04688,1.26963,-0.24533,-0.80902,0.20521,0.96452,0.20595,,,0.77283,0.62029,-0.13410,-0.00063,
0.05469,1.02715,-0.63644,-0.56300,0.20472,0.96647,0.19288,,,0.77278,0.62035,-0.13411,-0.00067,
0.06250,1.26963,-0.60088,-0.38727,0.20669,0.96403,0.18900,,,0.77272,0.62042,-0.13412,-0.00071,
0.07031,1.37355,-0.35199,-0.49271,0.20521,0.96159,0.20208,,,0.77266,0.62050,-0.13412,-0.00074,
0.07813,1.30427,-0.31644,-0.31697,0.20620,0.95816,0.19772,,,0.77260,0.62057,-0.13412,-0.00076,
0.08594,1.30427,-0.49422,-0.38727,0.21012,0.95621,0.19384,,,0.77254,0.62064,-0.13413,-0.00078,
0.09375,1.26963,-0.42311,-0.45756,0.20865,0.95816,0.19675,,,0.77248,0.62071,-0.13414,-0.00081,
0.10156,1.44283,-0.28088,-0.42241,0.20620,0.96110,0.20450,,,0.77242,0.62079,-0.13413,-0.00084,
0.10938,1.02715,-0.24533,-0.45756,0.20177,0.96452,0.20304,,,0.77237,0.62085,-0.13413,-0.00086,
0.11719,0.85395,-0.49422,-0.49271,0.20718,0.95621,0.19191,,,0.77233,0.62090,-0.13413,-0.00090,
0.12500,1.13107,-0.60088,-0.45756,0.21455,0.96305,0.18949,,,0.77228,0.62096,-0.13414,-0.00094,
0.13281,1.20035,-0.42311,-0.59815,0.20030,0.96110,0.19481,,,0.77222,0.62103,-0.13414,-0.00098,
0.14063,1.40819,-0.31644,-0.52785,0.20325,0.96745,0.20062,,,0.77216,0.62111,-0.13414,-0.00101,
0.14844,1.33891,-0.28088,-0.45756,0.21012,0.96696,0.19965,,,0.77210,0.62118,-0.13413,-0.00103,
0.15625,1.13107,-0.49422,-0.42241,0.20865,0.96550,0.19578,,,0.77205,0.62125,-0.13414,-0.00106,
0.16406,1.09643,-0.42311,-0.42241,0.20325,0.96550,0.18997,,,0.77200,0.62131,-0.13414,-0.00109,
0.17188,1.26963,-0.52977,-0.42241,0.21504,0.96696,0.19965,,,0.77194,0.62138,-0.13415,-0.00113,
0.17969,1.23499,-0.49422,-0.31697,0.20767,0.96892,0.19433,,,0.77188,0.62145,-0.13417,-0.00115,
0.18750,1.20035,-0.52977,-0.35212,0.20570,0.96501,0.18997,,,0.77183,0.62151,-0.13418,-0.00118,
0.19531,0.61147,-1.02755,-0.10610,0.19392,0.96110,0.18997,,,0.77179,0.62155,-0.13423,-0.00123,
0.20313,0.81931,-0.95644,-0.35212,0.20914,0.96696,0.19965,,,0.77175,0.62159,-0.13427,-0.00128,
0.21094,0.92323,-1.09867,-0.17639,0.20669,0.96794,0.19433,,,0.77170,0.62164,-0.13432,-0.00132,
0.21875,0.85395,-1.06311,-0.21154,0.20276,0.96354,0.19191,,,0.77165,0.62169,-0.13436,-0.00137,
0.22656,0.81931,-0.81422,-0.21154,0.20423,0.95719,0.19384,,,0.77161,0.62173,-0.13440,-0.00141,
0.23438,0.78467,-1.02755,-0.28183,0.19539,0.96550,0.19481,,,0.77157,0.62178,-0.13444,-0.00146,
0.24219,0.75003,-1.20533,-0.17639,0.20521,0.96256,0.20111,,,0.77152,0.62182,-0.13449,-0.00152,
0.25000,0.64611,-1.24089,-0.07095,0.21062,0.95767,0.19578,,,0.77149,0.62185,-0.13456,-0.00157,
0.25781,0.68075,-0.67200,-0.45756,0.21602,0.96403,0.18900,,,0.77145,0.62189,-0.13457,-0.00161,
0.26563,0.88859,-0.13866,-0.49271,0.21062,0.96452,0.20159,,,0.77141,0.62195,-0.13456,-0.00164,
0.27344,0.71539,-0.38755,-0.45756,0.20718,0.96843,0.20692,,,0.77138,0.62199,-0.13456,-0.00167,
0.28125,0.43828,-0.67200,-0.31697,0.21012,0.96305,0.20062,,,0.77135,0.62201,-0.13458,-0.00171,
0.28906,0.40364,-1.09867,-0.35212,0.21258,0.96452,0.18803,,,0.77133,0.62204,-0.13463,-0.00177,
0.29688,0.57683,-0.63644,-0.52785,0.20276,0.95963,0.19433,,,0.77130,0.62207,-0.13464,-0.00182,
0.30469,0.81931,-0.52977,-0.45756,0.20914,0.96012,0.19578,,,0.77126,0.62212,-0.13465,-0.00186,
0.31250,0.71539,-0.84978,-0.52785,0.20865,0.96012,0.20062,,,0.77122,0.62216,-0.13467,-0.00192,
0.32031,1.02715,-0.45866,-0.59815,0.20914,0.96207,0.18852,,,0.77117,0.62222,-0.13467,-0.00196,
0.32813,0.92323,-0.45866,-0.59815,0.20816,0.96012,0.19675,,,0.77113,0.62228,-0.13467,-0.00200,
0.33594,0.75003,-0.49422,-0.70358,0.20374,0.96110,0.20014,,,0.77109,0.62232,-0.13466,-0.00205,
0.34375,0.88859,-0.70755,-0.52785,0.20963,0.96159,0.20595,,,0.77105,0.62237,-0.13468,-0.00210,
0.35156,0.68075,-0.67200,-0.52785,0.21062,0.95572,0.19772,,,0.77101,0.62241,-0.13469,-0.00215,
0.35938,0.81931,-0.49422,-0.70358,0.19735,0.96256,0.20256,,,0.77097,0.62246,-0.13469,-0.00220,
0.36719,0.54219,-0.74311,-0.59815,0.20177,0.95963,0.19384,,,0.77094,0.62250,-0.13470,-0.00226,
0.37500,0.43828,-0.92089,-0.59815,0.20767,0.96256,0.20062,,,0.77091,0.62252,-0.13472,-0.00233,
0.38281,0.81931,-0.84978,-0.59815,0.21307,0.96110,0.20159,,,0.77087,0.62257,-0.13474,-0.00239,
0.39063,0.75003,-0.74311,-0.77388,0.20423,0.96012,0.20159,,,0.77083,0.62262,-0.13475,-0.00245,
0.39844,0.99251,-0.88533,-0.73873,0.20669,0.96501,0.19578,,,0.77078,0.62268,-0.13476,-0.00252,
0.40625,1.06179,-0.88533,-0.66844,0.21160,0.96159,0.20304,,,0.77073,0.62274,-0.13478,-0.00258,
0.41406,1.16571,-0.56533,-0.66844,0.21847,0.96159,0.19723,,,0.77067,0.62281,-0.13478,-0.00263,
0.42188,1.20035,-0.31644,-0.52785,0.20128,0.96061,0.19530,,,0.77062,0.62288,-0.13478,-0.00266,
0.42969,1.23499,-0.70755,-0.63329,0.20718,0.96159,0.19142,,,0.77056,0.62295,-0.13479,-0.00271,
0.43750,1.26963,-0.38755,-0.63329,0.20570,0.96550,0.20546,,,0.77050,0.62302,-0.13478,-0.00275,
0.44531,1.20035,-0.06755,-0.73873,0.21209,0.95914,0.19869,,,0.77045,0.62309,-0.13475,-0.00278,
0.45313,1.20035,-0.28088,-0.63329,0.20865,0.96207,0.19433,,,0.77040,0.62316,-0.13474,-0.00282,
0.46094,1.02715,-0.13866,-0.63329,0.20570,0.96452,0.20159,,,0.77035,0.62322,-0.13472,-0.00285,
0.46875,1.16571,-0.38755,-0.45756,0.20276,0.96452,0.19578,,,0.77030,0.62328,-0.13472,-0.00288,
0.47656,1.13107,-0.52977,-0.52785,0.20423,0.96061,0.19869,,,0.77025,0.62335,-0.13473,-0.00292,
0.48438,1.44283,-0.35199,-0.59815,0.21160,0.96159,0.20111,,,0.77018,0.62343,-0.13472,-0.00295,
0.49219,1.26963,0.14579,-0.56300,0.19834,0.96354,0.19239,,,0.77013,0.62350,-0.13469,-0.00296,
0.50000,1.16571,-0.20977,-0.42241,0.21749,0.96256,0.20062,,,0.77008,0.62356,-0.13469,-0.00298,
0.50781,1.82386,-0.35199,-0.35212,0.20620,0.95963,0.20546,,,0.77000,0.62366,-0.13469,-0.00300,
0.51563,1.85850,0.07468,-0.45756,0.20816,0.97136,0.20595,,,0.76992,0.62376,-0.13467,-0.00300,
0.52344,1.51211,-0.20977,-0.24668,0.19588,0.96110,0.19045,,,0.76985,0.62385,-0.13467,-0.00301,
0.53125,1.51211,-0.92089,-0.14124,0.20718,0.96012,0.19094,,,0.76978,0.62393,-0.13471,-0.00304,
0.53906,1.68530,-0.52977,-0.07095,0.21455,0.96794,0.20159,,,0.76970,0.62402,-0.13473,-0.00305,
0.54688,1.58139,-0.38755,-0.07095,0.20227,0.95865,0.19384,,,0.76963,0.62410,-0.13475,-0.00306,
0.55469,1.33891,-0.42311,0.06963,0.20423,0.96550,0.19336,,,0.76957,0.62417,-0.13478,-0.00306,
0.56250,1.26963,-0.77866,0.10478,0.20865,0.95767,0.19626,,,0.76951,0.62423,-0.13482,-0.00308,
0.57031,1.02715,-0.77866,-0.03580,0.21897,0.96012,0.19917,,,0.76946,0.62429,-0.13486,-0.00310,
0.57813,1.16571,-0.06755,-0.14124,0.20325,0.96256,0.20450,,,0.76941,0.62435,-0.13486,-0.00310,
0.58594,0.99251,-0.38755,-0.14124,0.20374,0.96305,0.19384,,,0.76936,0.62440,-0.13488,-0.00312,
0.59375,0.81931,-1.27645,-0.14124,0.21209,0.95865,0.18658,,,0.76932,0.62445,-0.13494,-0.00317,
0.60156,0.92323,-0.95644,-0.24668,0.20669,0.95914,0.18997,,,0.76927,0.62450,-0.13498,-0.00322,
