Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 22091

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.43541,-0.63692,-0.32574,0.20408,0.91438,0.37231,1020.926,27.5,0.82528,0.55054,-0.12577,-0.00026,
0.01563,0.36666,-0.67207,-0.36074,0.19823,0.91389,0.37328,,,0.82526,0.55057,-0.12579,-0.00030,
0.02344,0.19477,-0.88292,-0.43075,0.19336,0.90709,0.37086,,,0.82524,0.55058,-0.12582,-0.00036,
0.03125,0.16039,-0.95320,-0.57078,0.19774,0.90271,0.37038,,,0.82523,0.55060,-0.12586,-0.00043,
0.03906,-0.08026,-1.16406,-0.71080,0.19336,0.90466,0.36941,,,0.82522,0.55060,-0.12590,-0.00051,
0.04688,-0.14902,-1.48034,-0.81581,0.19384,0.90077,0.37280,,,0.82522,0.55060,-0.12595,-0.00061,
0.05469,-0.11464,-1.65605,-0.85082,0.19141,0.90417,0.36989,,,0.82521,0.55060,-0.12601,-0.00072,
0.06250,-0.11464,-1.79662,-0.99084,0.19189,0.90757,0.36844,,,0.82519,0.55060,-0.12607,-0.00085,
0.07031,-0.01150,-1.93719,-1.16586,0.19287,0.90854,0.37038,,,0.82518,0.55061,-0.12614,-0.00099,
0.07813,0.05725,-2.11290,-1.27088,0.19628,0.90271,0.37328,,,0.82516,0.55062,-0.12621,-0.00114,
0.08594,0.05725,-2.07776,-1.27088,0.19482,0.90952,0.36989,,,0.82514,0.55064,-0.12628,-0.00129,
0.09375,0.05725,-1.90205,-1.37590,0.19433,0.91486,0.36650,,,0.82512,0.55065,-0.12633,-0.00143,
0.10156,-0.01150,-2.04262,-1.44591,0.20213,0.91875,0.36747,,,0.82510,0.55066,-0.12639,-0.00159,
0.10938,-0.14902,-1.90205,-1.55092,0.20408,0.91680,0.36554,,,0.82509,0.55067,-0.12644,-0.00175,
0.11719,-0.32091,-1.90205,-1.51592,0.19872,0.91583,0.36941,,,0.82509,0.55066,-0.12649,-0.00191,
0.12500,-0.42404,-1.90205,-1.69094,0.20018,0.91097,0.36554,,,0.82509,0.55065,-0.12654,-0.00208,
0.13281,-0.56156,-1.93719,-1.69094,0.20359,0.90903,0.36844,,,0.82509,0.55063,-0.12658,-0.00226,
0.14063,-0.66469,-1.90205,-1.79596,0.20115,0.90660,0.36796,,,0.82510,0.55061,-0.12662,-0.00243,
0.14844,-0.66469,-1.93719,-1.72595,0.19482,0.90271,0.36263,,,0.82511,0.55059,-0.12667,-0.00261,
0.15625,-0.59593,-1.93719,-1.65594,0.19920,0.89639,0.36941,,,0.82511,0.55057,-0.12671,-0.00278,
0.16406,-0.59593,-1.69119,-1.76095,0.20359,0.89834,0.36457,,,0.82512,0.55055,-0.12674,-0.00295,
0.17188,-0.35529,-1.72633,-1.62093,0.20700,0.89542,0.37086,,,0.82512,0.55055,-0.12678,-0.00311,
0.17969,-0.18340,-1.58577,-1.58593,0.20651,0.89980,0.37086,,,0.82511,0.55055,-0.12681,-0.00326,
0.18750,0.05725,-1.48034,-1.72595,0.20115,0.90709,0.36796,,,0.82509,0.55057,-0.12683,-0.00341,
0.19531,0.05725,-1.51548,-1.69094,0.20700,0.90757,0.37425,,,0.82508,0.55058,-0.12685,-0.00356,
0.20313,0.09163,-1.41005,-1.62093,0.20359,0.90563,0.37619,,,0.82506,0.55060,-0.12687,-0.00370,
0.21094,0.12601,-1.30463,-1.72595,0.20505,0.90952,0.37522,,,0.82505,0.55062,-0.12688,-0.00385,
0.21875,0.29790,-1.44520,-1.51592,0.20213,0.91340,0.37231,,,0.82502,0.55065,-0.12690,-0.00399,
0.22656,0.16039,-1.23434,-1.48091,0.21334,0.91486,0.37135,,,0.82501,0.55067,-0.12691,-0.00411,
0.23438,0.02287,-1.19920,-1.30589,0.20456,0.91486,0.36747,,,0.82499,0.55069,-0.12693,-0.00423,
0.24219,-0.14902,-1.16406,-1.23588,0.20651,0.91146,0.37522,,,0.82499,0.55069,-0.12695,-0.00435,
0.25000,-0.14902,-1.09377,-0.92083,0.20456,0.90854,0.37619,,,0.82498,0.55069,-0.12698,-0.00444,
0.25781,-0.25215,-1.09377,-0.99084,0.20456,0.89882,0.37958,,,0.82498,0.55068,-0.12700,-0.00454,
0.26563,-0.28653,-1.19920,-1.09585,0.20798,0.90174,0.37086,,,0.82498,0.55068,-0.12703,-0.00465,
0.27344,-0.18340,-1.12892,-1.02584,0.20603,0.89348,0.37909,,,0.82498,0.55067,-0.12705,-0.00475,
0.28125,-0.14902,-1.09377,-1.02584,0.20115,0.89299,0.37377,,,0.82498,0.55067,-0.12708,-0.00485,
0.28906,0.05725,-0.91806,-1.13086,0.20262,0.89737,0.36844,,,0.82497,0.55069,-0.12709,-0.00495,
0.29688,0.26352,-0.81263,-1.16586,0.20603,0.89834,0.37667,,,0.82495,0.55071,-0.12709,-0.00504,
0.30469,0.40104,-0.88292,-1.06085,0.20554,0.90417,0.37909,,,0.82493,0.55074,-0.12710,-0.00513,
0.31250,0.53855,-0.70721,-0.88582,0.20505,0.90320,0.38006,,,0.82490,0.55078,-0.12710,-0.00520,
0.32031,0.77920,-0.95320,-0.78081,0.20992,0.91632,0.38006,,,0.82486,0.55083,-0.12713,-0.00528,
0.32813,0.64168,-0.88292,-0.78081,0.20798,0.91680,0.38055,,,0.82483,0.55087,-0.12715,-0.00535,
0.33594,0.33228,-0.88292,-0.67579,0.20554,0.91680,0.38248,,,0.82481,0.55090,-0.12717,-0.00542,
0.34375,-0.11464,-0.84778,-0.64079,0.20749,0.91972,0.38006,,,0.82481,0.55090,-0.12720,-0.00548,
0.35156,-0.38966,-0.95320,-0.60578,0.20603,0.91438,0.38248,,,0.82481,0.55088,-0.12723,-0.00556,
0.35938,-0.73345,-1.05863,-0.67579,0.19920,0.90660,0.37813,,,0.82483,0.55084,-0.12726,-0.00564,
0.36719,-0.83658,-1.19920,-0.64079,0.19872,0.90125,0.38055,,,0.82485,0.55080,-0.12730,-0.00573,
0.37500,-0.83658,-1.12892,-0.64079,0.20749,0.89834,0.37619,,,0.82487,0.55076,-0.12734,-0.00582,
0.38281,-0.83658,-1.33977,-0.67579,0.19531,0.90417,0.38103,,,0.82489,0.55072,-0.12739,-0.00591,
0.39063,-0.52718,-1.33977,-0.81581,0.19677,0.90028,0.37958,,,0.82490,0.55069,-0.12744,-0.00601,
0.39844,-0.45842,-1.19920,-0.92083,0.20115,0.90077,0.37667,,,0.82491,0.55068,-0.12747,-0.00611,
0.40625,-0.28653,-1.30463,-0.88582,0.19823,0.90660,0.37570,,,0.82490,0.55067,-0.12751,-0.00621,
0.41406,-0.32091,-1.30463,-0.74580,0.20456,0.90952,0.38345,,,0.82491,0.55066,-0.12756,-0.00631,
0.42188,-0.42404,-1.23434,-0.92083,0.19920,0.91097,0.37619,,,0.82491,0.55064,-0.12759,-0.00641,
0.42969,-0.66469,-1.19920,-0.81581,0.20408,0.91486,0.37619,,,0.82492,0.55061,-0.12763,-0.00651,
0.43750,-0.83658,-1.33977,-0.85082,0.20505,0.91292,0.37377,,,0.82494,0.55057,-0.12767,-0.00661,
0.44531,-0.83658,-1.55062,-0.88582,0.19725,0.91049,0.37958,,,0.82496,0.55053,-0.12772,-0.00673,
0.45313,-1.04285,-1.76148,-0.88582,0.19969,0.91146,0.37377,,,0.82498,0.55048,-0.12779,-0.00685,
0.46094,-1.04285,-1.83176,-0.92083,0.20115,0.91340,0.37474,,,0.82501,0.55042,-0.12786,-0.00698,
0.46875,-1.07723,-1.86690,-0.88582,0.19823,0.90903,0.37474,,,0.82503,0.55037,-0.12793,-0.00711,
0.47656,-1.18036,-1.86690,-0.88582,0.19774,0.90903,0.37231,,,0.82506,0.55031,-0.12800,-0.00724,
