type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,22.699
1.000,73.399
2.000,136.615
3.000,189.115
4.000,231.469
5.000,287.561
6.000,361.506
7.000,441.071
8.000,508.789
9.000,557.335
10.000,595.058
11.000,633.914
12.000,679.348
13.000,726.293
14.000,768.103
15.000,801.283
16.000,823.607
17.000,835.294
18.000,836.696
19.000,827.125
20.000,807.254
21.000,780.237
22.000,749.369
23.000,715.763
24.000,680.891
25.000,647.707
26.000,617.418
27.000,589.845
28.000,565.785
29.000,546.259
30.000,531.606
31.000,521.940
32.000,517.307
33.000,517.520
34.000,522.424
35.000,531.554
36.000,543.549
37.000,557.224
38.000,573.237
39.000,592.994
40.000,617.509
41.000,647.495
42.000,680.968
43.000,713.226
44.000,740.022
45.000,759.510
46.000,772.429
47.000,780.191
48.000,783.741
49.000,783.691
50.000,779.710
51.000,769.722
52.000,750.480
53.000,719.245
54.000,675.698
55.000,620.049
56.000,549.741
57.000,463.836
58.000,367.761
59.000,273.024
60.000,190.161
61.000,121.672
62.000,67.710
63.000,0.000
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
