type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,21.188
1.000,70.739
2.000,135.197
3.000,188.383
4.000,228.396
5.000,281.540
6.000,355.596
7.000,439.908
8.000,516.003
9.000,574.010
10.000,619.986
11.000,663.125
12.000,707.195
13.000,748.242
14.000,782.343
15.000,809.269
16.000,828.103
17.000,837.858
18.000,837.226
19.000,825.151
20.000,802.843
21.000,773.505
22.000,740.299
23.000,704.526
24.000,668.378
25.000,635.236
26.000,605.527
27.000,578.486
28.000,555.030
29.000,536.274
30.000,522.608
31.000,514.004
32.000,510.336
33.000,511.570
34.000,517.636
35.000,527.446
36.000,539.026
37.000,551.341
38.000,565.103
39.000,581.843
40.000,603.226
41.000,631.005
42.000,664.140
43.000,697.519
44.000,726.129
45.000,747.975
46.000,763.550
47.000,773.588
48.000,777.983
49.000,776.860
50.000,771.124
51.000,760.160
52.000,741.245
53.000,712.808
54.000,674.884
55.000,627.342
56.000,567.734
57.000,493.732
58.000,408.525
59.000,320.025
60.000,235.911
61.000,161.239
62.000,99.706
63.000,52.917
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
