type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,49.903
1.000,126.678
2.000,181.283
3.000,237.870
4.000,302.161
5.000,371.995
6.000,461.442
7.000,539.531
8.000,606.315
9.000,658.539
10.000,687.120
11.000,724.241
12.000,766.213
13.000,811.397
14.000,846.835
15.000,874.632
16.000,901.668
17.000,914.019
18.000,910.654
19.000,894.580
20.000,874.317
21.000,848.809
22.000,821.796
23.000,786.801
24.000,745.942
25.000,718.386
26.000,694.859
27.000,675.462
28.000,662.112
29.000,651.916
30.000,643.296
31.000,634.970
32.000,628.916
33.000,626.123
34.000,626.136
35.000,630.093
36.000,638.097
37.000,648.275
38.000,659.640
39.000,668.934
40.000,692.920
41.000,724.470
42.000,751.567
43.000,775.326
44.000,795.813
45.000,821.876
46.000,838.080
47.000,858.301
48.000,882.579
49.000,897.074
50.000,900.886
51.000,894.576
52.000,872.849
53.000,830.654
54.000,805.390
55.000,782.495
56.000,739.325
57.000,675.404
58.000,600.052
59.000,516.201
60.000,411.883
61.000,305.933
62.000,220.021
63.000,0.000
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
