type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,39.931
1.000,118.711
2.000,177.607
3.000,266.193
4.000,357.300
5.000,447.336
6.000,524.731
7.000,577.460
8.000,647.432
9.000,701.563
10.000,730.920
11.000,770.898
12.000,819.490
13.000,866.584
14.000,899.573
15.000,919.556
16.000,927.323
17.000,921.990
18.000,907.190
19.000,902.210
20.000,883.724
21.000,859.289
22.000,830.004
23.000,795.118
24.000,757.989
25.000,723.182
26.000,686.748
27.000,655.821
28.000,637.488
29.000,618.344
30.000,600.342
31.000,586.675
32.000,578.726
33.000,577.019
34.000,585.839
35.000,595.145
36.000,611.463
37.000,627.987
38.000,641.141
39.000,653.653
40.000,673.409
41.000,710.716
42.000,752.226
43.000,780.551
44.000,796.760
45.000,830.738
46.000,856.480
47.000,873.688
48.000,882.358
49.000,882.382
50.000,873.858
51.000,856.052
52.000,827.519
53.000,789.144
54.000,747.684
55.000,713.846
56.000,679.535
57.000,637.041
58.000,578.805
59.000,506.115
60.000,426.246
61.000,347.618
62.000,263.616
63.000,184.561
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
