type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,33.651
1.000,92.371
2.000,158.060
3.000,210.782
4.000,260.148
5.000,326.810
6.000,408.216
7.000,490.153
8.000,555.872
9.000,600.226
10.000,635.203
11.000,674.286
12.000,721.038
13.000,767.105
14.000,806.360
15.000,836.939
16.000,856.792
17.000,866.415
18.000,866.168
19.000,855.806
20.000,836.132
21.000,809.723
22.000,779.016
23.000,744.750
24.000,708.857
25.000,674.615
26.000,643.290
27.000,614.599
28.000,589.885
29.000,570.613
30.000,556.632
31.000,547.502
32.000,543.283
33.000,544.060
34.000,549.255
35.000,558.386
36.000,570.523
37.000,584.217
38.000,599.893
39.000,619.788
40.000,645.316
41.000,676.599
42.000,710.992
43.000,743.335
44.000,769.303
45.000,787.540
46.000,798.977
47.000,805.676
48.000,810.291
49.000,812.645
50.000,810.430
51.000,801.086
52.000,782.678
53.000,754.475
54.000,715.976
55.000,666.117
56.000,602.617
57.000,523.408
58.000,431.292
59.000,335.410
60.000,245.365
61.000,167.126
62.000,102.930
63.000,0.000
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
