type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,32.014
1.000,89.754
2.000,156.364
3.000,209.589
4.000,256.331
5.000,320.198
6.000,403.662
7.000,493.574
8.000,570.380
9.000,625.481
10.000,669.141
11.000,712.290
12.000,755.062
13.000,791.940
14.000,822.717
15.000,848.249
16.000,865.570
17.000,873.613
18.000,871.906
19.000,860.278
20.000,839.875
21.000,812.322
22.000,779.822
23.000,743.989
24.000,706.965
25.000,672.079
26.000,639.771
27.000,609.347
28.000,582.498
29.000,561.000
30.000,545.512
31.000,536.445
32.000,533.526
33.000,536.255
34.000,544.308
35.000,556.271
36.000,569.554
37.000,582.694
38.000,596.806
39.000,614.030
40.000,636.497
41.000,665.445
42.000,698.365
43.000,729.773
44.000,755.436
45.000,774.508
46.000,787.525
47.000,795.711
48.000,800.169
49.000,799.885
50.000,794.815
51.000,784.550
52.000,766.970
53.000,741.420
54.000,707.764
55.000,665.050
56.000,611.971
57.000,545.458
58.000,464.701
59.000,376.665
60.000,289.903
61.000,208.801
62.000,137.606
63.000,80.142
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
