type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,11.747
1.000,54.426
2.000,115.170
3.000,167.447
4.000,202.789
5.000,248.311
6.000,314.796
7.000,391.989
8.000,461.706
9.000,514.445
10.000,554.913
11.000,593.542
12.000,637.657
13.000,685.480
14.000,729.847
15.000,765.627
16.000,790.423
17.000,804.173
18.000,807.225
19.000,798.443
20.000,778.375
21.000,750.750
22.000,719.722
23.000,686.777
24.000,652.926
25.000,620.799
26.000,591.546
27.000,565.090
28.000,541.685
29.000,521.904
30.000,506.581
31.000,496.378
32.000,491.330
33.000,490.980
34.000,495.594
35.000,504.722
36.000,516.574
37.000,530.230
38.000,546.580
39.000,566.199
40.000,589.701
41.000,618.391
42.000,650.944
43.000,683.117
44.000,710.741
45.000,731.481
46.000,745.881
47.000,754.707
48.000,757.192
49.000,754.736
50.000,748.990
51.000,738.358
52.000,718.283
53.000,684.016
54.000,635.421
55.000,573.981
56.000,496.865
57.000,404.264
58.000,304.231
59.000,210.639
60.000,134.958
61.000,76.218
62.000,32.490
63.000,0.000
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
