type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,10.363
1.000,51.724
2.000,114.030
3.000,167.178
4.000,200.461
5.000,242.883
6.000,307.531
7.000,386.241
8.000,461.627
9.000,522.540
10.000,570.831
11.000,613.960
12.000,659.328
13.000,704.544
14.000,741.969
15.000,770.288
16.000,790.636
17.000,802.104
18.000,802.545
19.000,790.023
20.000,765.811
21.000,734.687
22.000,700.776
23.000,665.062
24.000,629.792
25.000,598.392
26.000,571.283
27.000,547.626
28.000,527.563
29.000,511.547
30.000,499.704
31.000,491.563
32.000,487.145
33.000,486.886
34.000,490.964
35.000,498.621
36.000,508.498
37.000,519.988
38.000,533.400
39.000,549.657
40.000,569.955
41.000,596.565
42.000,629.914
43.000,665.265
44.000,696.822
45.000,721.442
46.000,739.575
47.000,751.464
48.000,755.798
49.000,753.835
50.000,747.434
51.000,735.770
52.000,715.520
53.000,684.196
54.000,642.004
55.000,589.634
56.000,523.496
57.000,442.006
58.000,352.349
59.000,263.385
60.000,181.919
61.000,113.676
62.000,61.807
63.000,25.691
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
