type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,3.981
1.000,7.588
2.000,10.576
3.000,12.010
4.000,12.523
5.000,13.143
6.000,13.721
7.000,13.950
8.000,13.912
9.000,13.770
10.000,13.653
11.000,13.672
12.000,13.830
13.000,14.027
14.000,14.187
15.000,14.266
16.000,14.190
17.000,13.923
18.000,13.513
19.000,12.980
20.000,12.303
21.000,11.540
22.000,10.778
23.000,10.031
24.000,9.308
25.000,8.652
26.000,8.091
27.000,7.613
28.000,7.202
29.000,6.875
30.000,6.658
31.000,6.563
32.000,6.567
33.000,6.634
34.000,6.757
35.000,6.933
36.000,7.134
37.000,7.348
38.000,7.579
39.000,7.845
40.000,8.157
41.000,8.513
42.000,8.907
43.000,9.341
44.000,9.807
45.000,10.286
46.000,10.814
47.000,11.411
48.000,12.030
49.000,12.601
50.000,13.086
51.000,13.529
52.000,13.983
53.000,14.483
54.000,15.043
55.000,15.581
56.000,15.985
57.000,16.149
58.000,15.955
59.000,15.255
60.000,13.772
61.000,11.234
62.000,7.888
63.000,0.000
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
