type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,3.828
1.000,7.249
2.000,10.008
3.000,11.371
4.000,12.137
5.000,13.110
6.000,13.853
7.000,14.067
8.000,13.969
9.000,13.782
10.000,13.629
11.000,13.590
12.000,13.637
13.000,13.670
14.000,13.638
15.000,13.554
16.000,13.426
17.000,13.204
18.000,12.845
19.000,12.369
20.000,11.811
21.000,11.188
22.000,10.537
23.000,9.907
24.000,9.330
25.000,8.826
26.000,8.385
27.000,7.993
28.000,7.662
29.000,7.416
30.000,7.257
31.000,7.170
32.000,7.152
33.000,7.196
34.000,7.270
35.000,7.354
36.000,7.453
37.000,7.579
38.000,7.748
39.000,7.972
40.000,8.254
41.000,8.605
42.000,9.027
43.000,9.498
44.000,10.005
45.000,10.538
46.000,11.110
47.000,11.748
48.000,12.435
49.000,13.108
50.000,13.699
51.000,14.212
52.000,14.675
53.000,15.063
54.000,15.378
55.000,15.659
56.000,15.882
57.000,15.927
58.000,15.654
59.000,14.901
60.000,13.514
61.000,11.458
62.000,8.883
63.000,6.019
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
