type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,6.557
1.000,10.794
2.000,13.193
3.000,13.730
4.000,14.480
5.000,16.004
6.000,16.514
7.000,16.916
8.000,16.597
9.000,16.362
10.000,16.498
11.000,15.989
12.000,15.838
13.000,16.101
14.000,16.101
15.000,16.360
16.000,16.427
17.000,16.243
18.000,15.959
19.000,15.500
20.000,15.110
21.000,14.397
22.000,13.582
23.000,12.734
24.000,11.885
25.000,11.223
26.000,10.765
27.000,10.256
28.000,9.679
29.000,9.322
30.000,9.221
31.000,9.102
32.000,9.070
33.000,8.957
34.000,8.921
35.000,9.086
36.000,9.297
37.000,9.782
38.000,10.316
39.000,10.688
40.000,10.995
41.000,11.399
42.000,11.938
43.000,12.347
44.000,12.658
45.000,13.116
46.000,13.640
47.000,14.099
48.000,14.458
49.000,14.950
50.000,15.637
51.000,16.676
52.000,17.531
53.000,18.442
54.000,19.139
55.000,19.890
56.000,20.340
57.000,20.227
58.000,20.160
59.000,19.223
60.000,17.721
61.000,17.553
62.000,16.431
63.000,0.000
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
