type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,5.662
1.000,9.778
2.000,12.624
3.000,13.897
4.000,14.700
5.000,15.471
6.000,16.291
7.000,16.397
8.000,17.019
9.000,17.504
10.000,17.337
11.000,16.768
12.000,16.518
13.000,16.803
14.000,17.255
15.000,17.608
16.000,17.575
17.000,16.789
18.000,15.467
19.000,14.424
20.000,13.883
21.000,13.260
22.000,12.624
23.000,12.190
24.000,11.738
25.000,11.019
26.000,10.182
27.000,9.633
28.000,9.617
29.000,9.534
30.000,9.933
31.000,10.151
32.000,10.218
33.000,10.352
34.000,10.570
35.000,10.821
36.000,11.089
37.000,11.357
38.000,11.608
39.000,11.842
40.000,12.227
41.000,12.780
42.000,13.281
43.000,13.767
44.000,14.385
45.000,15.239
46.000,16.176
47.000,17.029
48.000,18.116
49.000,19.338
50.000,20.241
51.000,21.061
52.000,22.014
53.000,23.001
54.000,24.038
55.000,24.741
56.000,24.506
57.000,24.094
58.000,23.092
59.000,21.218
60.000,20.063
61.000,18.003
62.000,14.587
63.000,12.005
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
