type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,4.988
1.000,8.819
2.000,11.630
3.000,12.863
4.000,13.449
5.000,14.256
6.000,14.921
7.000,15.121
8.000,15.002
9.000,14.780
10.000,14.590
11.000,14.533
12.000,14.636
13.000,14.788
14.000,14.932
15.000,15.056
16.000,15.054
17.000,14.853
18.000,14.511
19.000,14.042
20.000,13.397
21.000,12.624
22.000,11.826
23.000,11.013
24.000,10.194
25.000,9.472
26.000,8.886
27.000,8.375
28.000,7.914
29.000,7.549
30.000,7.313
31.000,7.213
32.000,7.216
33.000,7.281
34.000,7.405
35.000,7.592
36.000,7.824
37.000,8.067
38.000,8.335
39.000,8.632
40.000,8.965
41.000,9.350
42.000,9.780
43.000,10.233
44.000,10.698
45.000,11.190
46.000,11.723
47.000,12.286
48.000,12.862
49.000,13.439
50.000,13.983
51.000,14.549
52.000,15.247
53.000,16.047
54.000,16.857
55.000,17.534
56.000,17.937
57.000,18.007
58.000,17.676
59.000,16.890
60.000,15.640
61.000,13.615
62.000,10.564
63.000,0.000
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
