type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,4.837
1.000,8.458
2.000,11.024
3.000,12.219
4.000,13.083
5.000,14.198
6.000,14.965
7.000,15.164
8.000,15.069
9.000,14.867
10.000,14.661
11.000,14.557
12.000,14.557
13.000,14.570
14.000,14.553
15.000,14.505
16.000,14.399
17.000,14.165
18.000,13.786
19.000,13.306
20.000,12.754
21.000,12.120
22.000,11.426
23.000,10.745
24.000,10.136
25.000,9.621
26.000,9.172
27.000,8.769
28.000,8.437
29.000,8.216
30.000,8.097
31.000,8.050
32.000,8.071
33.000,8.150
34.000,8.250
35.000,8.344
36.000,8.445
37.000,8.574
38.000,8.753
39.000,9.011
40.000,9.337
41.000,9.718
42.000,10.159
43.000,10.648
44.000,11.176
45.000,11.742
46.000,12.358
47.000,13.032
48.000,13.743
49.000,14.452
50.000,15.118
51.000,15.785
52.000,16.491
53.000,17.170
54.000,17.806
55.000,18.408
56.000,18.857
57.000,18.976
58.000,18.619
59.000,17.683
60.000,16.119
61.000,13.900
62.000,11.120
63.000,8.020
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
