type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,2.975
1.000,6.358
2.000,9.521
3.000,11.156
4.000,11.597
5.000,12.030
6.000,12.522
7.000,12.778
8.000,12.823
9.000,12.759
10.000,12.716
11.000,12.811
12.000,13.025
13.000,13.265
14.000,13.443
15.000,13.476
16.000,13.326
17.000,12.994
18.000,12.516
19.000,11.919
20.000,11.209
21.000,10.456
22.000,9.730
23.000,9.050
24.000,8.421
25.000,7.831
26.000,7.297
27.000,6.850
28.000,6.490
29.000,6.200
30.000,6.003
31.000,5.914
32.000,5.918
33.000,5.986
34.000,6.109
35.000,6.273
36.000,6.445
37.000,6.629
38.000,6.824
39.000,7.058
40.000,7.348
41.000,7.677
42.000,8.033
43.000,8.450
44.000,8.917
45.000,9.382
46.000,9.904
47.000,10.537
48.000,11.199
49.000,11.763
50.000,12.189
51.000,12.508
52.000,12.719
53.000,12.920
54.000,13.229
55.000,13.629
56.000,14.032
57.000,14.291
58.000,14.233
59.000,13.621
60.000,11.904
61.000,8.852
62.000,5.212
63.000,0.000
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
