type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,2.819
1.000,6.039
2.000,8.991
3.000,10.522
4.000,11.191
5.000,12.022
6.000,12.740
7.000,12.969
8.000,12.870
9.000,12.696
10.000,12.596
11.000,12.623
12.000,12.718
13.000,12.770
14.000,12.722
15.000,12.603
16.000,12.453
17.000,12.242
18.000,11.905
19.000,11.432
20.000,10.867
21.000,10.256
22.000,9.648
23.000,9.069
24.000,8.524
25.000,8.031
26.000,7.598
27.000,7.216
28.000,6.886
29.000,6.616
30.000,6.417
31.000,6.289
32.000,6.233
33.000,6.242
34.000,6.290
35.000,6.364
36.000,6.461
37.000,6.584
38.000,6.742
39.000,6.933
40.000,7.171
41.000,7.492
42.000,7.895
43.000,8.348
44.000,8.834
45.000,9.334
46.000,9.863
47.000,10.465
48.000,11.128
49.000,11.765
50.000,12.279
51.000,12.639
52.000,12.859
53.000,12.957
54.000,12.950
55.000,12.910
56.000,12.906
57.000,12.877
58.000,12.688
59.000,12.119
60.000,10.908
61.000,9.016
62.000,6.647
63.000,4.017
64.000,0.000
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
