type,name,time_units,begin_time,frequency,count,units
signal,"LT Force curve","%",0.000,1,100,"N"

time,value
0.000,8.248
1.000,2.062
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.000
6.000,0.000
7.000,0.000
8.000,0.000
9.000,0.000
10.000,0.000
11.000,0.000
12.000,0.001
13.000,0.040
14.000,0.238
15.000,0.928
16.000,2.484
17.000,5.610
18.000,11.931
19.000,22.410
20.000,35.878
21.000,50.016
22.000,63.818
23.000,76.962
24.000,88.911
25.000,99.834
26.000,110.325
27.000,121.043
28.000,130.970
29.000,139.575
30.000,147.441
31.000,154.519
32.000,160.772
33.000,166.091
34.000,170.918
35.000,175.424
36.000,180.005
37.000,185.034
38.000,189.720
39.000,193.789
40.000,197.809
41.000,201.953
42.000,205.866
43.000,209.920
44.000,214.487
45.000,219.114
46.000,223.299
47.000,227.562
48.000,232.951
49.000,239.069
50.000,244.810
51.000,249.742
52.000,254.780
53.000,261.167
54.000,268.709
55.000,276.001
56.000,283.007
57.000,291.187
58.000,300.287
59.000,309.350
60.000,317.928
61.000,327.008
62.000,338.109
63.000,350.233
64.000,363.657
65.000,378.611
66.000,394.223
67.000,412.501
68.000,433.695
69.000,454.348
70.000,474.916
71.000,499.004
72.000,526.085
73.000,553.767
74.000,580.768
75.000,606.456
76.000,631.789
77.000,658.357
78.000,682.746
79.000,702.090
80.000,717.504
81.000,726.895
82.000,727.936
83.000,719.899
84.000,702.997
85.000,677.701
86.000,645.798
87.000,610.667
88.000,570.878
89.000,522.896
90.000,465.276
91.000,399.239
92.000,329.487
93.000,261.981
94.000,202.218
95.000,152.818
96.000,117.225
97.000,90.893
98.000,61.431
99.000,29.456
