type,name,time_units,begin_time,frequency,count,units
signal,"RT Force curve","%",0.000,1,100,"N"

time,value
0.000,6.727
1.000,1.682
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.000
6.000,0.000
7.000,0.000
8.000,0.000
9.000,0.000
10.000,0.000
11.000,0.000
12.000,0.000
13.000,0.063
14.000,0.497
15.000,2.103
16.000,5.667
17.000,11.392
18.000,20.643
19.000,34.060
20.000,49.425
21.000,65.297
22.000,81.039
23.000,95.186
24.000,107.537
25.000,118.788
26.000,128.972
27.000,139.154
28.000,148.929
29.000,156.879
30.000,164.246
31.000,171.820
32.000,178.617
33.000,183.942
34.000,188.655
35.000,193.298
36.000,197.330
37.000,201.367
38.000,205.729
39.000,209.046
40.000,211.361
41.000,214.362
42.000,218.130
43.000,221.360
44.000,223.700
45.000,226.152
46.000,228.978
47.000,232.205
48.000,236.441
49.000,240.984
50.000,245.078
51.000,249.313
52.000,254.759
53.000,260.931
54.000,266.724
55.000,272.646
56.000,279.334
57.000,286.831
58.000,294.586
59.000,302.302
60.000,311.085
61.000,321.957
62.000,333.240
63.000,344.029
64.000,358.155
65.000,375.173
66.000,392.632
67.000,413.464
68.000,437.776
69.000,462.287
70.000,486.945
71.000,513.530
72.000,540.556
73.000,565.763
74.000,590.015
75.000,612.610
76.000,632.323
77.000,651.674
78.000,669.986
79.000,684.839
80.000,695.515
81.000,700.027
82.000,696.988
83.000,685.627
84.000,667.148
85.000,642.393
86.000,611.655
87.000,576.998
88.000,535.060
89.000,482.756
90.000,423.090
91.000,359.730
92.000,296.732
93.000,237.657
94.000,185.431
95.000,142.321
96.000,108.759
97.000,79.894
98.000,50.780
99.000,23.485
