type,name,time_units,begin_time,frequency,count,units
signal,"LT Force curve","%",0.000,1,100,"N"

time,value
0.000,0.000
1.000,27.069
2.000,67.588
3.000,118.617
4.000,162.342
5.000,188.973
6.000,204.789
7.000,222.596
8.000,252.716
9.000,295.790
10.000,342.986
11.000,380.766
12.000,399.579
13.000,401.287
14.000,394.383
15.000,383.919
16.000,371.947
17.000,361.650
18.000,354.036
19.000,348.221
20.000,343.791
21.000,340.963
22.000,338.880
23.000,336.587
24.000,334.358
25.000,330.954
26.000,324.756
27.000,315.939
28.000,306.267
29.000,296.132
30.000,284.397
31.000,270.658
32.000,256.479
33.000,243.075
34.000,228.914
35.000,214.561
36.000,200.350
37.000,185.199
38.000,170.710
39.000,157.975
40.000,145.987
41.000,134.352
42.000,123.825
43.000,114.205
44.000,105.160
45.000,96.863
46.000,89.596
47.000,82.792
48.000,75.532
49.000,68.798
50.000,63.528
51.000,59.632
52.000,56.578
53.000,53.727
54.000,51.140
55.000,49.069
56.000,47.215
57.000,45.276
58.000,43.400
59.000,41.873
60.000,40.768
61.000,40.069
62.000,39.748
63.000,39.643
64.000,39.531
65.000,39.117
66.000,37.914
67.000,35.576
68.000,32.312
69.000,28.616
70.000,24.503
71.000,19.583
72.000,14.258
73.000,9.470
74.000,5.672
75.000,2.935
76.000,1.283
77.000,0.452
78.000,0.114
79.000,0.042
80.000,0.014
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
