type,name,time_units,begin_time,frequency,count,units
signal,"RT Force curve","%",0.000,1,100,"N"

time,value
0.000,0.000
1.000,25.363
2.000,64.660
3.000,116.481
4.000,162.422
5.000,191.540
6.000,209.088
7.000,225.334
8.000,250.927
9.000,289.901
10.000,333.340
11.000,367.299
12.000,385.185
13.000,386.699
14.000,375.489
15.000,360.416
16.000,347.535
17.000,338.232
18.000,331.606
19.000,325.093
20.000,318.562
21.000,312.318
22.000,304.512
23.000,296.352
24.000,290.311
25.000,284.549
26.000,277.910
27.000,269.782
28.000,259.768
29.000,249.536
30.000,237.757
31.000,222.537
32.000,206.639
33.000,192.944
34.000,179.443
35.000,165.590
36.000,153.113
37.000,140.186
38.000,126.138
39.000,114.364
40.000,105.503
41.000,96.740
42.000,87.751
43.000,79.933
44.000,73.824
45.000,68.649
46.000,63.492
47.000,58.244
48.000,53.239
49.000,49.254
50.000,46.478
51.000,44.381
52.000,42.322
53.000,40.568
54.000,39.630
55.000,38.744
56.000,37.510
57.000,36.189
58.000,34.914
59.000,33.959
60.000,33.185
61.000,32.388
62.000,31.798
63.000,31.413
64.000,30.361
65.000,28.542
66.000,26.605
67.000,23.894
68.000,19.996
69.000,15.843
70.000,12.125
71.000,8.481
72.000,5.016
73.000,2.480
74.000,1.033
75.000,0.347
76.000,0.083
77.000,0.015
78.000,0.001
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
