type,name,time_units,begin_time,frequency,count,units
signal,"LT Force curve","%",0.000,1,100,"N"

time,value
0.000,0.000
1.000,0.000
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.000
6.000,0.000
7.000,0.007
8.000,0.236
9.000,2.339
10.000,11.178
11.000,32.809
12.000,67.852
13.000,109.063
14.000,147.427
15.000,181.659
16.000,213.539
17.000,241.152
18.000,266.916
19.000,293.049
20.000,316.292
21.000,334.858
22.000,350.658
23.000,364.661
24.000,375.668
25.000,384.448
26.000,391.858
27.000,397.636
28.000,401.203
29.000,402.027
30.000,400.542
31.000,396.786
32.000,390.568
33.000,382.182
34.000,371.363
35.000,360.247
36.000,350.638
37.000,339.422
38.000,326.226
39.000,313.698
40.000,301.263
41.000,288.619
42.000,276.389
43.000,263.931
44.000,252.017
45.000,242.307
46.000,234.672
47.000,227.795
48.000,221.208
49.000,215.257
50.000,210.580
51.000,207.591
52.000,205.755
53.000,204.542
54.000,203.915
55.000,203.989
56.000,204.926
57.000,206.688
58.000,208.824
59.000,211.249
60.000,214.192
61.000,217.183
62.000,220.202
63.000,224.174
64.000,229.578
65.000,235.545
66.000,240.951
67.000,245.589
68.000,248.834
69.000,249.921
70.000,247.477
71.000,239.791
72.000,227.018
73.000,210.898
74.000,192.581
75.000,172.627
76.000,150.771
77.000,125.627
78.000,100.498
79.000,78.038
80.000,56.907
81.000,38.956
82.000,25.602
83.000,15.746
84.000,8.962
85.000,4.775
86.000,2.182
87.000,0.791
88.000,0.248
89.000,0.047
90.000,0.003
91.000,0.001
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
