type,name,time_units,begin_time,frequency,count,units
signal,"RT Force curve","%",0.000,1,100,"N"

time,value
0.000,0.000
1.000,0.000
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.003
6.000,0.016
7.000,0.166
8.000,0.785
9.000,4.012
10.000,15.925
11.000,42.733
12.000,83.585
13.000,133.657
14.000,185.768
15.000,231.243
16.000,267.380
17.000,294.687
18.000,317.296
19.000,339.709
20.000,359.676
21.000,375.845
22.000,390.801
23.000,404.387
24.000,414.561
25.000,421.947
26.000,426.902
27.000,429.677
28.000,430.734
29.000,428.861
30.000,423.956
31.000,416.980
32.000,408.842
33.000,399.008
34.000,386.104
35.000,372.469
36.000,359.584
37.000,345.684
38.000,331.078
39.000,317.279
40.000,304.116
41.000,290.995
42.000,278.525
43.000,266.525
44.000,255.374
45.000,246.626
46.000,239.776
47.000,233.370
48.000,227.334
49.000,222.415
50.000,219.009
51.000,216.918
52.000,215.714
53.000,215.541
54.000,216.898
55.000,218.950
56.000,220.623
57.000,222.063
58.000,223.698
59.000,225.916
60.000,227.845
61.000,229.280
62.000,232.123
63.000,237.603
64.000,244.636
65.000,250.822
66.000,255.242
67.000,258.272
68.000,258.999
69.000,255.657
70.000,247.744
71.000,236.177
72.000,221.907
73.000,205.482
74.000,186.267
75.000,165.907
76.000,146.329
77.000,124.688
78.000,101.799
79.000,80.322
80.000,59.845
81.000,41.395
82.000,27.113
83.000,17.165
84.000,10.240
85.000,5.658
86.000,2.785
87.000,1.193
88.000,0.450
89.000,0.109
90.000,0.012
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
