type,name,time_units,begin_time,frequency,count,units
signal,"LT Force curve","%",0.000,1,100,"N"

time,value
0.000,8.248
1.000,29.131
2.000,67.588
3.000,118.617
4.000,162.342
5.000,188.973
6.000,204.789
7.000,222.604
8.000,252.951
9.000,298.129
10.000,354.164
11.000,413.575
12.000,467.432
13.000,510.391
14.000,542.049
15.000,566.506
16.000,587.970
17.000,608.412
18.000,632.883
19.000,663.679
20.000,695.961
21.000,725.836
22.000,753.357
23.000,778.210
24.000,798.937
25.000,815.235
26.000,826.939
27.000,834.619
28.000,838.441
29.000,837.734
30.000,832.380
31.000,821.963
32.000,807.819
33.000,791.348
34.000,771.195
35.000,750.232
36.000,730.994
37.000,709.656
38.000,686.656
39.000,665.462
40.000,645.059
41.000,624.924
42.000,606.080
43.000,588.056
44.000,571.664
45.000,558.284
46.000,547.567
47.000,538.148
48.000,529.692
49.000,523.124
50.000,518.918
51.000,516.965
52.000,517.113
53.000,519.435
54.000,523.764
55.000,529.059
56.000,535.148
57.000,543.151
58.000,552.511
59.000,562.472
60.000,572.888
61.000,584.260
62.000,598.059
63.000,614.050
64.000,632.766
65.000,653.272
66.000,673.088
67.000,693.666
68.000,714.842
69.000,732.884
70.000,746.896
71.000,758.378
72.000,767.361
73.000,774.134
74.000,779.021
75.000,782.019
76.000,783.843
77.000,784.435
78.000,783.358
79.000,780.169
80.000,774.425
81.000,765.851
82.000,753.538
83.000,735.645
84.000,711.960
85.000,682.477
86.000,647.980
87.000,611.458
88.000,571.126
89.000,522.943
90.000,465.279
91.000,399.239
92.000,329.487
93.000,261.981
94.000,202.218
95.000,152.818
96.000,117.225
97.000,90.893
98.000,61.431
99.000,29.456
