type,name,time_units,begin_time,frequency,count,units
signal,"RT Force curve","%",0.000,1,100,"N"

time,value
0.000,6.727
1.000,27.044
2.000,64.660
3.000,116.481
4.000,162.422
5.000,191.543
6.000,209.104
7.000,225.499
8.000,251.712
9.000,293.913
10.000,349.265
11.000,410.032
12.000,468.770
13.000,520.418
14.000,561.755
15.000,593.761
16.000,620.582
17.000,644.311
18.000,669.545
19.000,698.862
20.000,727.663
21.000,753.460
22.000,776.351
23.000,795.925
24.000,812.409
25.000,825.284
26.000,833.784
27.000,838.613
28.000,839.431
29.000,835.276
30.000,825.959
31.000,811.337
32.000,794.098
33.000,775.894
34.000,754.202
35.000,731.356
36.000,710.028
37.000,687.238
38.000,662.945
39.000,640.689
40.000,620.980
41.000,602.097
42.000,584.405
43.000,567.819
44.000,552.898
45.000,541.426
46.000,532.246
47.000,523.819
48.000,517.014
49.000,512.653
50.000,510.565
51.000,510.612
52.000,512.795
53.000,517.040
54.000,523.252
55.000,530.339
56.000,537.467
57.000,545.083
58.000,553.198
59.000,562.177
60.000,572.115
61.000,583.625
62.000,597.161
63.000,613.045
64.000,633.152
65.000,654.537
66.000,674.479
67.000,695.630
68.000,716.770
69.000,733.787
70.000,746.813
71.000,758.187
72.000,767.479
73.000,773.725
74.000,777.315
75.000,778.864
76.000,778.735
77.000,776.377
78.000,771.786
79.000,765.161
80.000,755.360
81.000,741.421
82.000,724.100
83.000,702.792
84.000,677.388
85.000,648.051
86.000,614.440
87.000,578.191
88.000,535.510
89.000,482.865
90.000,423.101
91.000,359.730
92.000,296.732
93.000,237.657
94.000,185.431
95.000,142.321
96.000,108.759
97.000,79.894
98.000,50.780
99.000,23.485
