type,name,time_units,begin_time,frequency,count,units
signal,"LT Pressure plots, Stance, Force curve","s",0.000,128,50,"N"

time,value
0.000,22.663
0.008,97.055
0.016,170.910
0.023,237.117
0.031,312.803
0.039,403.645
0.047,490.656
0.055,558.691
0.063,611.855
0.070,665.874
0.078,722.790
0.086,773.322
0.094,810.348
0.102,830.696
0.109,833.727
0.117,819.796
0.125,791.078
0.133,752.258
0.141,709.097
0.148,666.260
0.156,626.432
0.164,590.973
0.172,561.555
0.180,539.386
0.188,524.853
0.195,518.701
0.203,520.635
0.211,529.363
0.219,543.861
0.227,562.463
0.234,584.417
0.242,613.317
0.250,651.522
0.258,692.973
0.266,729.112
0.273,755.604
0.281,772.046
0.289,780.670
0.297,782.997
0.305,778.243
0.313,764.299
0.320,735.782
0.328,684.910
0.336,607.627
0.344,510.335
0.352,403.366
0.359,289.458
0.367,177.766
0.375,87.107
0.383,18.852
