type,name,time_units,begin_time,frequency,count,units
signal,"RT Pressure plots, Stance, Force curve","s",0.000,128,50,"N"

time,value
0.000,21.242
0.008,95.212
0.016,169.680
0.023,236.786
0.031,316.207
0.039,411.963
0.047,503.787
0.055,580.441
0.063,643.912
0.070,701.961
0.078,752.788
0.086,792.238
0.094,820.636
0.102,834.985
0.109,831.096
0.117,809.771
0.125,775.491
0.133,733.015
0.141,687.456
0.148,643.265
0.156,603.330
0.164,569.826
0.172,543.931
0.180,525.568
0.188,514.859
0.195,512.457
0.203,518.112
0.211,529.820
0.219,545.164
0.227,563.210
0.234,584.829
0.242,614.002
0.250,652.711
0.258,694.138
0.266,729.710
0.273,755.627
0.281,771.010
0.289,777.006
0.297,774.633
0.305,763.328
0.313,741.482
0.320,704.447
0.328,647.225
0.336,570.053
0.344,477.549
0.352,373.931
0.359,263.124
0.367,157.359
0.375,74.262
0.383,15.105
