type,name,time_units,begin_time,frequency,count,units
signal_2d,"LT Pressure plots, Stance, Gait line","s",0.000,128,50,"mm"

time,x,y
0.000,17.574,-133.661
0.008,18.122,-131.018
0.016,19.592,-125.081
0.023,20.360,-116.177
0.031,18.977,-106.356
0.039,16.412,-96.449
0.047,13.747,-86.515
0.055,11.125,-77.046
0.063,8.789,-68.402
0.070,7.014,-60.461
0.078,5.897,-53.476
0.086,5.293,-47.742
0.094,4.875,-42.945
0.102,4.382,-38.574
0.109,3.696,-34.410
0.117,2.847,-30.511
0.125,1.887,-26.686
0.133,0.856,-22.533
0.141,-0.164,-17.951
0.148,-1.111,-13.158
0.156,-1.973,-8.306
0.164,-2.778,-3.362
0.172,-3.571,1.582
0.180,-4.409,6.444
0.188,-5.304,11.055
0.195,-6.168,14.945
0.203,-6.948,18.060
0.211,-7.614,20.675
0.219,-8.124,22.940
0.227,-8.510,24.956
0.234,-8.770,26.739
0.242,-8.842,28.352
0.250,-8.837,30.128
0.258,-8.996,32.699
0.266,-9.369,36.644
0.273,-9.811,42.085
0.281,-10.156,48.695
0.289,-10.246,55.894
0.297,-9.951,63.053
0.305,-9.265,69.654
0.313,-8.306,75.339
0.320,-7.105,80.477
0.328,-5.650,85.906
0.336,-4.087,92.058
0.344,-2.652,98.877
0.352,-1.458,106.346
0.359,-0.518,115.263
0.367,-0.382,125.417
0.375,-2.065,134.853
0.383,-5.513,142.970
