type,name,time_units,begin_time,frequency,count,units
signal_2d,"RT Pressure plots, Stance, Gait line","s",0.000,128,50,"mm"

time,x,y
0.000,2.019,-136.173
0.008,1.754,-133.361
0.016,0.559,-127.022
0.023,-0.152,-117.003
0.031,0.602,-105.505
0.039,1.736,-94.154
0.047,2.617,-83.093
0.055,3.415,-72.369
0.063,3.965,-62.556
0.070,4.256,-53.840
0.078,4.469,-46.468
0.086,4.622,-40.615
0.094,4.718,-35.794
0.102,4.832,-31.417
0.109,5.013,-27.230
0.117,5.277,-23.097
0.125,5.621,-18.752
0.133,6.008,-14.062
0.141,6.366,-9.136
0.148,6.648,-4.232
0.156,6.856,0.511
0.164,7.006,5.013
0.172,7.142,9.131
0.180,7.298,13.003
0.188,7.461,16.559
0.195,7.571,19.444
0.203,7.556,21.617
0.211,7.395,23.340
0.219,7.119,24.999
0.227,6.776,26.761
0.234,6.432,28.460
0.242,6.167,30.055
0.250,5.994,32.113
0.258,5.800,35.399
0.266,5.450,40.140
0.273,4.918,45.848
0.281,4.217,51.959
0.289,3.359,58.152
0.297,2.353,64.133
0.305,1.182,69.792
0.313,-0.168,75.026
0.320,-1.763,80.040
0.328,-3.682,85.422
0.336,-5.859,91.555
0.344,-8.175,98.588
0.352,-10.652,106.734
0.359,-13.077,116.174
0.367,-14.200,126.145
0.375,-12.654,134.906
0.383,-8.947,141.898
