Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 19655

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.16724,-0.21552,0.13314,-0.15346,0.53399,0.81424,1023.130,25.7,0.00000,0.00000,0.00000,0.00000,
0.01563,0.02973,-0.00225,0.13314,-0.15831,0.53302,0.81328,,,0.00000,0.00000,0.00000,0.00000,
0.02344,0.13286,-0.07334,0.02798,-0.15783,0.53253,0.81182,,,0.00000,0.00000,0.00000,0.00000,
0.03125,0.16724,0.17546,0.16820,-0.15977,0.52716,0.81909,,,0.00000,0.00000,0.00000,0.00000,
0.03906,0.06411,0.17546,0.02798,-0.16026,0.52863,0.80891,,,0.00000,0.00000,0.00000,0.00000,
0.04688,0.16724,0.13992,0.09809,-0.16511,0.52912,0.81424,,,0.00000,0.00000,0.00000,0.00000,
0.05469,0.20162,0.03329,0.06303,-0.16414,0.52863,0.81424,,,0.95563,0.28178,0.08581,0.00000,
0.06250,0.06411,-0.03780,0.09809,-0.16171,0.52960,0.81231,,,0.95563,0.28179,0.08580,0.00001,
0.07031,0.09848,-0.07334,0.09809,-0.16414,0.52326,0.81134,,,0.95563,0.28180,0.08580,0.00001,
0.07813,0.13286,0.10438,0.20325,-0.15297,0.52570,0.80940,,,0.95563,0.28181,0.08580,0.00002,
0.08594,0.13286,-0.07334,0.23830,-0.15200,0.53302,0.81909,,,0.95563,0.28182,0.08579,0.00004,
0.09375,0.16724,0.06883,0.23830,-0.15589,0.53204,0.81618,,,0.95562,0.28183,0.08579,0.00005,
0.10156,0.06411,0.03329,0.23830,-0.16074,0.52424,0.82054,,,0.95562,0.28183,0.08579,0.00007,
0.10938,0.02973,0.06883,0.02798,-0.16657,0.52912,0.82103,,,0.95562,0.28184,0.08579,0.00007,
0.11719,0.02973,0.21101,0.16820,-0.15929,0.53058,0.81957,,,0.95562,0.28184,0.08580,0.00009,
0.12500,0.13286,-0.03780,0.09809,-0.16220,0.53107,0.81279,,,0.95562,0.28185,0.08580,0.00009,
0.13281,-0.00465,0.13992,-0.00707,-0.16171,0.52912,0.81473,,,0.95561,0.28185,0.08581,0.00009,
0.14063,0.09848,0.03329,-0.00707,-0.15637,0.53448,0.81134,,,0.95561,0.28185,0.08581,0.00009,
0.14844,0.16724,-0.00225,0.09809,-0.15783,0.53156,0.81521,,,0.95561,0.28186,0.08581,0.00010,
0.15625,0.06411,0.17546,0.13314,-0.16414,0.53156,0.81521,,,0.95561,0.28187,0.08582,0.00011,
