Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 19655

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.31010,0.14379,-0.51060,-0.13190,0.93425,0.33253,1021.712,24.6,0.00000,0.00000,0.00000,0.00000,
0.01563,0.27576,0.14379,-0.61528,-0.13190,0.93231,0.33059,,,0.00000,0.00000,0.00000,0.00000,
0.02344,0.27576,0.10799,-0.68507,-0.13238,0.93133,0.32670,,,0.00000,0.00000,0.00000,0.00000,
0.03125,0.20709,-0.10679,-0.68507,-0.13480,0.92406,0.31600,,,0.00000,0.00000,0.00000,0.00000,
0.03906,0.34443,0.00060,-0.61528,-0.13577,0.93182,0.31454,,,0.00000,0.00000,0.00000,0.00000,
0.04688,0.13842,-0.10679,-0.61528,-0.13383,0.93764,0.32378,,,0.81521,0.57327,0.08237,0.00000,
0.05469,0.13842,0.03640,-0.51060,-0.13528,0.93813,0.32621,,,0.81521,0.57328,0.08239,-0.00003,
0.06250,0.17275,0.10799,-0.54549,-0.13287,0.94298,0.33253,,,0.81520,0.57328,0.08242,-0.00005,
0.07031,0.20709,-0.03520,-0.47571,-0.13867,0.94152,0.33059,,,0.81519,0.57329,0.08244,-0.00008,
0.07813,0.06975,0.03640,-0.40592,-0.12851,0.93619,0.33399,,,0.81519,0.57329,0.08246,-0.00011,
0.08594,0.20709,0.03640,-0.44082,-0.13141,0.92697,0.32572,,,0.81518,0.57330,0.08247,-0.00013,
0.09375,0.27576,-0.07100,-0.37103,-0.13432,0.92697,0.31843,,,0.81517,0.57332,0.08249,-0.00015,
0.10156,0.31010,-0.03520,-0.37103,-0.13093,0.93036,0.31941,,,0.81516,0.57333,0.08250,-0.00018,
0.10938,0.17275,0.14379,-0.51060,-0.13915,0.93036,0.32572,,,0.81515,0.57334,0.08253,-0.00020,
0.11719,0.17275,0.21539,-0.47571,-0.13867,0.92988,0.32816,,,0.81514,0.57334,0.08256,-0.00022,
0.12500,0.20709,0.03640,-0.58039,-0.13528,0.93570,0.32475,,,0.81514,0.57335,0.08258,-0.00025,
0.13281,0.20709,0.07220,-0.51060,-0.13093,0.93570,0.33253,,,0.81513,0.57336,0.08260,-0.00028,
