Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 19655

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,-0.07161,-0.01978,-0.60818,-0.19034,0.96560,0.13929,1022.056,26.8,0.00000,0.00000,0.00000,0.00000,
0.01563,0.06621,0.08623,-0.67788,-0.19420,0.96657,0.14076,,,0.00000,0.00000,0.00000,0.00000,
0.02344,-0.00270,0.01556,-0.64303,-0.19130,0.96898,0.13880,,,0.00000,0.00000,0.00000,0.00000,
0.03125,0.10067,0.15691,-0.46878,-0.18937,0.96753,0.14272,,,0.00000,0.00000,0.00000,0.00000,
0.03906,0.03176,0.33360,-0.57333,-0.19517,0.96850,0.14076,,,0.00000,0.00000,0.00000,0.00000,
0.04688,-0.10607,0.40427,-0.78243,-0.19179,0.96705,0.14174,,,0.75509,0.64304,0.12786,0.00000,
0.05469,-0.03715,0.29826,-0.78243,-0.19468,0.96512,0.13831,,,0.75508,0.64303,0.12791,-0.00003,
0.06250,-0.20943,0.43961,-0.85213,-0.19517,0.96609,0.13684,,,0.75509,0.64301,0.12797,-0.00005,
0.07031,0.03176,0.43961,-0.71273,-0.19130,0.96464,0.13538,,,0.75508,0.64301,0.12803,-0.00007,
0.07813,-0.03715,0.33360,-0.74758,-0.19517,0.96802,0.13831,,,0.75508,0.64300,0.12808,-0.00009,
0.08594,-0.00270,0.05090,-0.64303,-0.19468,0.96657,0.13831,,,0.75508,0.64299,0.12811,-0.00012,
0.09375,0.06621,0.29826,-0.71273,-0.19855,0.96560,0.14027,,,0.75508,0.64299,0.12815,-0.00015,
0.10156,-0.14052,0.22758,-0.71273,-0.18792,0.96609,0.13635,,,0.75508,0.64298,0.12820,-0.00017,
0.10938,-0.07161,0.15691,-0.81728,-0.19952,0.96512,0.14418,,,0.75508,0.64296,0.12824,-0.00021,
0.11719,-0.17498,0.15691,-0.78243,-0.19082,0.96512,0.14418,,,0.75509,0.64295,0.12828,-0.00024,
0.12500,-0.03715,0.12157,-0.85213,-0.19372,0.96512,0.14027,,,0.75509,0.64294,0.12833,-0.00028,
0.13281,0.13513,-0.33782,-0.78243,-0.19855,0.96609,0.14418,,,0.75509,0.64294,0.12834,-0.00033,
0.14063,-0.00270,-0.40849,-0.64303,-0.19420,0.96512,0.14125,,,0.75509,0.64293,0.12835,-0.00038,
0.14844,-0.00270,-0.37315,-0.71273,-0.19565,0.96753,0.14027,,,0.75509,0.64293,0.12836,-0.00044,
0.15625,0.03176,-0.47917,-0.71273,-0.19420,0.97236,0.13733,,,0.75510,0.64292,0.12837,-0.00049,
0.16406,-0.10607,-0.30248,-0.74758,-0.18889,0.96560,0.13831,,,0.75510,0.64291,0.12839,-0.00055,
0.17188,-0.07161,-0.19647,-0.64303,-0.19420,0.96898,0.13782,,,0.75511,0.64290,0.12840,-0.00059,
0.17969,0.03176,-0.05512,-0.64303,-0.19855,0.96078,0.13733,,,0.75511,0.64290,0.12843,-0.00062,
0.18750,0.06621,-0.05512,-0.64303,-0.19275,0.96464,0.14125,,,0.75511,0.64290,0.12845,-0.00066,
0.19531,0.06621,-0.16113,-0.57333,-0.19710,0.95981,0.14614,,,0.75510,0.64289,0.12847,-0.00070,
0.20313,0.16958,-0.33782,-0.36424,-0.19323,0.96657,0.14320,,,0.75510,0.64290,0.12847,-0.00073,
0.21094,0.16958,-0.44383,-0.43393,-0.19468,0.96657,0.13391,,,0.75510,0.64290,0.12847,-0.00077,
0.21875,0.20404,-0.54984,-0.46878,-0.19034,0.96464,0.14027,,,0.75509,0.64291,0.12846,-0.00082,
0.22656,0.06621,-0.58518,-0.39909,-0.19082,0.96464,0.14125,,,0.75509,0.64291,0.12845,-0.00087,
0.23438,0.10067,-0.62052,-0.32939,-0.19468,0.97043,0.13440,,,0.75510,0.64291,0.12843,-0.00092,
0.24219,0.16958,-0.44383,-0.57333,-0.18792,0.96657,0.13782,,,0.75509,0.64292,0.12843,-0.00097,
0.25000,0.06621,-0.12579,-0.67788,-0.19323,0.96705,0.13293,,,0.75509,0.64291,0.12845,-0.00101,
0.25781,-0.14052,0.01556,-0.71273,-0.19662,0.97139,0.13929,,,0.75510,0.64290,0.12849,-0.00104,
0.26563,-0.07161,0.12157,-0.67788,-0.19034,0.96802,0.14223,,,0.75510,0.64289,0.12852,-0.00107,
0.27344,-0.10607,0.01556,-0.67788,-0.19179,0.97139,0.13538,,,0.75510,0.64288,0.12855,-0.00110,
0.28125,-0.10607,0.33360,-0.71273,-0.19855,0.96319,0.13684,,,0.75510,0.64287,0.12860,-0.00113,
0.28906,-0.20943,0.29826,-0.81728,-0.19565,0.96657,0.14076,,,0.75511,0.64285,0.12865,-0.00115,
0.29688,-0.00270,0.29826,-0.88698,-0.19420,0.96753,0.14174,,,0.75511,0.64284,0.12871,-0.00118,
0.30469,-0.03715,0.05090,-0.81728,-0.19130,0.96464,0.13489,,,0.75511,0.64283,0.12874,-0.00122,
0.31250,-0.03715,0.43961,-0.78243,-0.19662,0.96560,0.14956,,,0.75511,0.64282,0.12880,-0.00124,
0.32031,-0.07161,0.33360,-0.64303,-0.19807,0.96512,0.14369,,,0.75511,0.64281,0.12885,-0.00126,
0.32813,0.03176,0.26292,-0.74758,-0.19179,0.96174,0.13929,,,0.75510,0.64281,0.12889,-0.00129,
0.33594,0.10067,0.26292,-0.71273,-0.19565,0.96271,0.13831,,,0.75510,0.64281,0.12894,-0.00132,
0.34375,0.13513,0.01556,-0.78243,-0.19855,0.95788,0.14712,,,0.75509,0.64281,0.12897,-0.00136,
0.35156,-0.00270,0.01556,-0.60818,-0.19227,0.96705,0.14369,,,0.75509,0.64280,0.12900,-0.00139,
0.35938,0.06621,-0.33782,-0.67788,-0.19807,0.96753,0.14467,,,0.75509,0.64280,0.12901,-0.00144,
0.36719,-0.14052,-0.33782,-0.60818,-0.19372,0.96367,0.13831,,,0.75510,0.64279,0.12902,-0.00148,
0.37500,-0.07161,-0.23180,-0.71273,-0.19034,0.95740,0.13929,,,0.75510,0.64278,0.12904,-0.00153,
0.38281,-0.07161,-0.05512,-0.64303,-0.19613,0.96898,0.14125,,,0.75511,0.64277,0.12907,-0.00156,
0.39063,-0.07161,-0.01978,-0.60818,-0.19179,0.96560,0.14516,,,0.75511,0.64276,0.12909,-0.00160,
0.39844,-0.17498,0.15691,-0.57333,-0.19420,0.96705,0.13978,,,0.75512,0.64275,0.12912,-0.00162,
0.40625,0.06621,-0.05512,-0.57333,-0.19710,0.96850,0.13733,,,0.75512,0.64274,0.12915,-0.00165,
0.41406,0.06621,0.08623,-0.50363,-0.19807,0.96367,0.13880,,,0.75511,0.64274,0.12917,-0.00167,
0.42188,-0.00270,-0.05512,-0.57333,-0.19952,0.96416,0.14369,,,0.75511,0.64274,0.12920,-0.00170,
0.42969,0.10067,-0.30248,-0.39909,-0.19179,0.96753,0.14174,,,0.75511,0.64274,0.12920,-0.00174,
0.43750,0.13513,-0.23180,-0.36424,-0.19710,0.96560,0.14076,,,0.75511,0.64274,0.12920,-0.00177,
0.44531,0.20404,-0.12579,-0.50363,-0.20048,0.96271,0.14467,,,0.75510,0.64275,0.12922,-0.00180,
0.45313,0.30741,0.15691,-0.64303,-0.20097,0.95836,0.14272,,,0.75508,0.64276,0.12925,-0.00183,
0.46094,0.23849,-0.26714,-0.67788,-0.18889,0.96367,0.14418,,,0.75508,0.64277,0.12927,-0.00188,
0.46875,0.27295,-0.51451,-0.53848,-0.19034,0.96946,0.13635,,,0.75507,0.64277,0.12927,-0.00193,
0.47656,0.37632,-0.23180,-0.74758,-0.19758,0.96271,0.14663,,,0.75505,0.64279,0.12929,-0.00198,
0.48438,0.37632,-0.40849,-0.64303,-0.19275,0.96657,0.13635,,,0.75504,0.64280,0.12929,-0.00204,
0.49219,0.51414,-0.51451,-0.64303,-0.19565,0.96657,0.14125,,,0.75502,0.64282,0.12930,-0.00210,
0.50000,0.30741,-0.26714,-0.78243,-0.19565,0.97091,0.13635,,,0.75501,0.64283,0.12932,-0.00215,
0.50781,0.30741,-0.09045,-0.81728,-0.19082,0.96609,0.14027,,,0.75500,0.64284,0.12935,-0.00220,
0.51563,0.37632,0.01556,-0.81728,-0.19179,0.96222,0.13880,,,0.75498,0.64285,0.12938,-0.00225,
0.52344,0.27295,0.05090,-0.81728,-0.19468,0.96560,0.14125,,,0.75497,0.64286,0.12942,-0.00229,
0.53125,0.16958,0.08623,-0.99152,-0.19855,0.96850,0.14467,,,0.75496,0.64286,0.12947,-0.00234,
0.53906,0.23849,0.05090,-0.85213,-0.19468,0.96898,0.13880,,,0.75495,0.64286,0.12951,-0.00238,
0.54688,0.20404,0.05090,-0.88698,-0.19758,0.96802,0.13635,,,0.75494,0.64287,0.12955,-0.00243,
0.55469,0.03176,-0.01978,-0.85213,-0.18889,0.96560,0.14223,,,0.75494,0.64286,0.12959,-0.00247,
0.56250,0.03176,0.15691,-0.81728,-0.19565,0.96898,0.14125,,,0.75494,0.64285,0.12963,-0.00251,
0.57031,0.16958,0.08623,-0.78243,-0.20145,0.96126,0.14320,,,0.75493,0.64286,0.12967,-0.00254,
0.57813,0.06621,-0.16113,-0.64303,-0.19807,0.96416,0.14174,,,0.75493,0.64285,0.12969,-0.00259,
0.58594,0.16958,-0.30248,-0.53848,-0.20000,0.96319,0.14223,,,0.75492,0.64286,0.12970,-0.00263,
0.59375,0.16958,-0.30248,-0.46878,-0.19903,0.96705,0.14223,,,0.75492,0.64286,0.12970,-0.00267,
0.60156,0.06621,-0.44383,-0.29454,-0.20048,0.96222,0.13635,,,0.75492,0.64286,0.12969,-0.00270,
0.60938,0.13513,-0.44383,-0.25969,-0.20097,0.96222,0.14027,,,0.75491,0.64287,0.12968,-0.00274,
0.61719,-0.03715,-0.33782,-0.12029,-0.19468,0.96319,0.14369,,,0.75492,0.64286,0.12967,-0.00276,
0.62500,0.06621,-0.23180,-0.01574,-0.20290,0.95981,0.13929,,,0.75492,0.64287,0.12966,-0.00277,
0.63281,0.13513,-0.58518,0.12366,-0.18889,0.96416,0.13684,,,0.75492,0.64288,0.12962,-0.00279,
0.64063,0.10067,-0.65586,0.19335,-0.19323,0.96802,0.13880,,,0.75492,0.64288,0.12958,-0.00281,
0.64844,-0.10607,-0.65586,0.22820,-0.19613,0.96705,0.13880,,,0.75493,0.64288,0.12954,-0.00282,
0.65625,-0.27834,-0.54984,0.36760,-0.19710,0.96464,0.13635,,,0.75495,0.64287,0.12949,-0.00283,
0.66406,-0.31280,-0.47917,0.33275,-0.19323,0.96705,0.13831,,,0.75496,0.64285,0.12945,-0.00283,
0.67188,-0.17498,-0.72653,0.54185,-0.19179,0.96367,0.13929,,,0.75498,0.64285,0.12939,-0.00283,
0.67969,-0.31280,-0.54984,0.22820,-0.19227,0.96560,0.13782,,,0.75500,0.64284,0.12935,-0.00284,
0.68750,-0.17498,-0.51451,0.36760,-0.19323,0.96753,0.13831,,,0.75501,0.64283,0.12931,-0.00284,
0.69531,-0.34726,-0.30248,0.26305,-0.19179,0.96174,0.14027,,,0.75503,0.64281,0.12928,-0.00284,
