Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 19655

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.47565,-0.87466,0.18836,0.16462,0.51863,0.82981,1021.869,25.2,0.95765,0.27293,-0.09169,0.00000,
0.01563,0.33854,-0.69464,0.18836,0.17432,0.51570,0.81192,,,0.95764,0.27295,-0.09174,0.00000,
0.02344,0.40710,-0.83866,0.08283,0.17674,0.51961,0.82014,,,0.95763,0.27298,-0.09180,-0.00001,
0.03125,0.50993,-0.83866,0.15319,0.17819,0.51228,0.82498,,,0.95762,0.27301,-0.09185,-0.00001,
0.03906,0.44138,-0.65863,0.04765,0.17189,0.51082,0.81918,,,0.95760,0.27304,-0.09190,-0.00001,
0.04688,0.47565,-0.62263,0.04765,0.16704,0.51863,0.82498,,,0.95759,0.27307,-0.09194,-0.00002,
0.05469,0.47565,-0.55062,0.22354,0.16947,0.51619,0.81627,,,0.95758,0.27310,-0.09198,-0.00001,
0.06250,0.57849,-0.76665,0.08283,0.16898,0.51131,0.82208,,,0.95756,0.27314,-0.09203,-0.00002,
0.07031,0.57849,-0.73064,0.11801,0.17577,0.51815,0.81869,,,0.95755,0.27317,-0.09208,-0.00002,
0.07813,0.37282,-0.69464,0.18836,0.16995,0.51717,0.82353,,,0.95754,0.27320,-0.09213,-0.00002,
0.08594,0.47565,-0.55062,0.08283,0.17335,0.52059,0.82788,,,0.95752,0.27323,-0.09217,-0.00002,
0.09375,0.30427,-0.62263,0.22354,0.16898,0.51326,0.82256,,,0.95751,0.27325,-0.09221,-0.00002,
0.10156,0.54421,-0.58662,0.15319,0.17868,0.51277,0.82401,,,0.95750,0.27328,-0.09225,-0.00001,
0.10938,0.47565,-0.73064,0.22354,0.16753,0.52401,0.82498,,,0.95749,0.27331,-0.09230,-0.00001,
