Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 19655

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.19727,0.07486,-0.71137,0.10804,0.95918,0.31241,1022.731,24.9,0.80561,0.58857,-0.06768,-0.00033,
0.01563,0.23162,0.18171,-0.60659,0.10998,0.96650,0.30903,,,0.80560,0.58859,-0.06765,-0.00035,
0.02344,0.30030,0.21733,-0.67645,0.11289,0.96113,0.30854,,,0.80559,0.58860,-0.06761,-0.00038,
0.03125,0.19727,-0.03200,-0.74630,0.11435,0.96698,0.31241,,,0.80558,0.58862,-0.06758,-0.00042,
0.03906,0.23162,0.32418,-0.85107,0.11483,0.96259,0.30903,,,0.80557,0.58864,-0.06753,-0.00045,
0.04688,0.30030,0.21733,-0.92092,0.11532,0.96357,0.31338,,,0.80556,0.58866,-0.06748,-0.00049,
0.05469,0.16293,0.39542,-0.81615,0.11095,0.96454,0.29596,,,0.80556,0.58867,-0.06743,-0.00052,
0.06250,0.23162,0.28856,-0.71137,0.11386,0.95722,0.29015,,,0.80555,0.58869,-0.06738,-0.00055,
0.07031,0.43768,0.00362,-0.71137,0.11192,0.95869,0.29499,,,0.80553,0.58871,-0.06735,-0.00058,
0.07813,0.54071,0.21733,-0.88600,0.11240,0.95576,0.29112,,,0.80551,0.58875,-0.06731,-0.00062,
0.08594,0.26596,0.21733,-0.60659,0.11435,0.95186,0.29644,,,0.80550,0.58876,-0.06727,-0.00064,
0.09375,0.43768,0.35980,-0.64152,0.10561,0.95234,0.29789,,,0.80549,0.58879,-0.06722,-0.00066,
0.10156,0.43768,0.14609,-0.67645,0.10755,0.95771,0.30080,,,0.80547,0.58882,-0.06719,-0.00069,
0.10938,0.43768,0.25295,-0.64152,0.10707,0.96308,0.30564,,,0.80545,0.58884,-0.06715,-0.00072,
0.11719,0.23162,0.32418,-0.64152,0.11143,0.95771,0.30273,,,0.80544,0.58886,-0.06711,-0.00074,
0.12500,0.43768,0.35980,-0.71137,0.10755,0.96942,0.30419,,,0.80543,0.58889,-0.06706,-0.00076,
0.13281,0.54071,0.43104,-0.57167,0.11095,0.96698,0.30757,,,0.80541,0.58892,-0.06701,-0.00077,
0.14063,0.43768,0.35980,-0.50182,0.11143,0.96357,0.31096,,,0.80539,0.58895,-0.06697,-0.00078,
0.14844,0.33465,0.28856,-0.46689,0.11046,0.96698,0.30370,,,0.80538,0.58897,-0.06694,-0.00079,
0.15625,0.47202,0.03924,-0.29227,0.12065,0.96015,0.30322,,,0.80536,0.58899,-0.06692,-0.00081,
0.16406,0.40333,0.35980,-0.74630,0.11192,0.95820,0.29499,,,0.80535,0.58902,-0.06687,-0.00083,
0.17188,0.43768,0.43104,-0.64152,0.10949,0.96064,0.29257,,,0.80533,0.58905,-0.06682,-0.00085,
0.17969,0.47202,0.14609,-0.57167,0.11483,0.95332,0.28773,,,0.80531,0.58908,-0.06679,-0.00087,
0.18750,0.30030,0.35980,-0.64152,0.11192,0.94356,0.28773,,,0.80530,0.58909,-0.06675,-0.00089,
0.19531,0.50636,0.18171,-0.78122,0.10658,0.95039,0.28531,,,0.80528,0.58913,-0.06671,-0.00092,
0.20313,0.36899,0.43104,-0.60659,0.10318,0.96601,0.28967,,,0.80527,0.58915,-0.06666,-0.00094,
0.21094,0.47202,0.21733,-0.53674,0.11240,0.95625,0.30322,,,0.80525,0.58918,-0.06662,-0.00096,
0.21875,0.43768,0.32418,-0.50182,0.11435,0.96210,0.30031,,,0.80524,0.58920,-0.06659,-0.00097,
0.22656,0.40333,0.32418,-0.32719,0.09251,0.95722,0.29935,,,0.80522,0.58923,-0.06656,-0.00097,
0.23438,0.43768,0.14609,-0.22242,0.12017,0.96601,0.30951,,,0.80520,0.58925,-0.06654,-0.00098,
0.24219,0.33465,0.25295,-0.81615,0.10658,0.96259,0.30806,,,0.80519,0.58927,-0.06649,-0.00101,
0.25000,0.26596,0.28856,-0.99077,0.11192,0.96698,0.30322,,,0.80518,0.58929,-0.06644,-0.00105,
0.25781,0.33465,0.14609,-0.85107,0.11143,0.96747,0.30564,,,0.80517,0.58932,-0.06639,-0.00109,
0.26563,0.33465,0.03924,-0.71137,0.11289,0.95625,0.30322,,,0.80516,0.58934,-0.06636,-0.00113,
0.27344,0.26596,0.03924,-0.64152,0.11629,0.96357,0.30370,,,0.80515,0.58935,-0.06634,-0.00116,
0.28125,0.26596,0.03924,-0.88600,0.11046,0.95918,0.29402,,,0.80513,0.58937,-0.06630,-0.00120,
0.28906,0.23162,0.18171,-0.85107,0.11386,0.95771,0.29209,,,0.80513,0.58939,-0.06625,-0.00124,
