Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 19655

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.99251,-0.49422,-0.52785,0.19735,0.96892,0.16189,1021.958,25.5,0.00000,0.00000,0.00000,0.00000,
0.01563,0.78467,-0.28088,-0.59815,0.20620,0.97039,0.16576,,,0.76207,0.63413,-0.13087,0.00000,
0.02344,0.81931,-0.20977,-0.66844,0.20227,0.97039,0.16285,,,0.76203,0.63418,-0.13085,-0.00004,
0.03125,0.88859,-0.20977,-0.77388,0.19441,0.96550,0.16673,,,0.76199,0.63424,-0.13083,-0.00008,
0.03906,0.95787,-0.52977,-0.66844,0.20374,0.96892,0.16624,,,0.76194,0.63429,-0.13083,-0.00013,
0.04688,0.88859,-0.45866,-0.84417,0.19981,0.97381,0.16915,,,0.76190,0.63435,-0.13081,-0.00018,
0.05469,0.95787,0.11023,-1.09019,0.19981,0.97723,0.17060,,,0.76186,0.63440,-0.13076,-0.00023,
0.06250,1.06179,0.25246,-1.16049,0.20423,0.97283,0.16092,,,0.76182,0.63447,-0.13070,-0.00027,
0.07031,1.02715,0.46579,-1.05505,0.19883,0.96794,0.16431,,,0.76178,0.63453,-0.13063,-0.00029,
0.07813,1.16571,0.75024,-1.23078,0.20128,0.97087,0.16673,,,0.76173,0.63460,-0.13054,-0.00031,
0.08594,1.16571,0.99913,-1.37137,0.20325,0.96990,0.16770,,,0.76169,0.63468,-0.13042,-0.00033,
0.09375,1.13107,0.82135,-1.40651,0.19441,0.97039,0.16624,,,0.76165,0.63475,-0.13032,-0.00036,
0.10156,0.92323,0.67913,-1.37137,0.19735,0.96794,0.16431,,,0.76162,0.63481,-0.13023,-0.00039,
0.10938,1.06179,0.57246,-1.30107,0.19097,0.97185,0.16237,,,0.76158,0.63488,-0.13014,-0.00042,
0.11719,0.95787,0.46579,-1.44166,0.19932,0.96892,0.16818,,,0.76154,0.63494,-0.13005,-0.00047,
0.12500,0.88859,0.14579,-1.37137,0.19244,0.96941,0.16576,,,0.76150,0.63500,-0.12999,-0.00053,
0.13281,0.85395,0.07468,-1.33622,0.19539,0.97576,0.15995,,,0.76146,0.63505,-0.12992,-0.00059,
0.14063,0.85395,0.14579,-1.19563,0.19686,0.97185,0.15946,,,0.76143,0.63511,-0.12987,-0.00063,
0.14844,0.81931,0.21690,-1.19563,0.19686,0.97185,0.16140,,,0.76139,0.63516,-0.12980,-0.00068,
0.15625,1.06179,0.60801,-1.01990,0.18950,0.97430,0.16285,,,0.76135,0.63522,-0.12973,-0.00070,
0.16406,1.02715,0.35912,-0.94961,0.19539,0.97136,0.16237,,,0.76131,0.63529,-0.12967,-0.00072,
0.17188,1.16571,0.25246,-0.91446,0.20177,0.97430,0.16527,,,0.76126,0.63535,-0.12961,-0.00075,
0.17969,1.30427,0.28801,-0.73873,0.19539,0.97039,0.16527,,,0.76121,0.63543,-0.12957,-0.00076,
0.18750,1.13107,0.28801,-0.52785,0.19146,0.97625,0.17060,,,0.76116,0.63549,-0.12953,-0.00077,
0.19531,0.95787,-0.17421,-0.52785,0.19441,0.97087,0.16624,,,0.76112,0.63555,-0.12952,-0.00079,
0.20313,0.81931,-0.49422,-0.35212,0.19539,0.97332,0.16092,,,0.76108,0.63559,-0.12953,-0.00083,
0.21094,0.75003,-0.63644,-0.35212,0.19146,0.96941,0.16431,,,0.76104,0.63563,-0.12954,-0.00087,
0.21875,0.68075,-0.99200,-0.24668,0.19539,0.96647,0.16818,,,0.76100,0.63567,-0.12958,-0.00092,
0.22656,0.64611,-1.06311,-0.14124,0.19637,0.97185,0.15898,,,0.76097,0.63571,-0.12963,-0.00096,
0.23438,0.71539,-0.74311,-0.14124,0.19048,0.97185,0.16189,,,0.76093,0.63574,-0.12967,-0.00100,
0.24219,0.75003,-0.74311,-0.00066,0.19048,0.97234,0.16334,,,0.76089,0.63578,-0.12971,-0.00102,
0.25000,0.78467,-0.84978,-0.00066,0.19637,0.96990,0.16285,,,0.76085,0.63582,-0.12975,-0.00105,
0.25781,0.71539,-0.99200,0.10478,0.19932,0.96647,0.16092,,,0.76081,0.63586,-0.12981,-0.00108,
0.26563,0.92323,-0.77866,0.13993,0.20128,0.97283,0.16721,,,0.76076,0.63591,-0.12985,-0.00110,
0.27344,0.92323,-0.56533,0.13993,0.19834,0.96745,0.16770,,,0.76072,0.63595,-0.12989,-0.00111,
0.28125,1.02715,-0.88533,0.17507,0.19735,0.97087,0.17012,,,0.76067,0.63601,-0.12994,-0.00113,
0.28906,0.92323,-1.24089,0.13993,0.20079,0.97185,0.16092,,,0.76061,0.63605,-0.13001,-0.00117,
0.29688,1.09643,-0.67200,0.03449,0.19834,0.97234,0.16285,,,0.76056,0.63611,-0.13005,-0.00119,
0.30469,0.99251,-1.20533,0.06963,0.19735,0.97381,0.16866,,,0.76051,0.63616,-0.13011,-0.00123,
0.31250,0.78467,-0.77866,-0.00066,0.19686,0.97039,0.16092,,,0.76047,0.63620,-0.13015,-0.00125,
0.32031,0.85395,-0.28088,-0.03580,0.19883,0.97234,0.15656,,,0.76043,0.63624,-0.13017,-0.00126,
0.32813,0.92323,-0.63644,-0.00066,0.20276,0.97283,0.16285,,,0.76038,0.63629,-0.13020,-0.00128,
0.33594,0.95787,-0.24533,-0.28183,0.19441,0.97381,0.16963,,,0.76034,0.63634,-0.13020,-0.00130,
0.34375,0.85395,-0.17421,-0.49271,0.19785,0.96403,0.16285,,,0.76030,0.63639,-0.13019,-0.00132,
0.35156,1.30427,-0.03199,-0.52785,0.18802,0.96843,0.17302,,,0.76024,0.63647,-0.13017,-0.00134,
0.35938,0.78467,-1.70312,-0.70358,0.20079,0.97039,0.18174,,,0.76019,0.63651,-0.13022,-0.00144,
0.36719,0.81931,-1.13422,-0.91446,0.20030,0.96843,0.16237,,,0.76015,0.63656,-0.13024,-0.00153,
0.37500,1.16571,0.43024,-0.80902,0.20177,0.96892,0.16092,,,0.76010,0.63663,-0.13019,-0.00154,
0.38281,1.23499,0.14579,-0.84417,0.19785,0.97430,0.15317,,,0.76005,0.63670,-0.13014,-0.00157,
0.39063,1.26963,0.32357,-0.98476,0.19539,0.97479,0.16915,,,0.75999,0.63678,-0.13008,-0.00160,
0.39844,1.23499,0.57246,-1.19563,0.20472,0.97576,0.16770,,,0.75995,0.63685,-0.13000,-0.00162,
0.40625,1.26963,0.53690,-1.37137,0.20177,0.97332,0.16963,,,0.75990,0.63693,-0.12991,-0.00166,
0.41406,1.09643,0.75024,-1.33622,0.19932,0.97332,0.16479,,,0.75985,0.63700,-0.12982,-0.00169,
0.42188,1.02715,0.21690,-1.33622,0.19932,0.96794,0.16624,,,0.75981,0.63706,-0.12975,-0.00174,
0.42969,0.99251,0.18134,-1.37137,0.19342,0.97967,0.16140,,,0.75977,0.63713,-0.12968,-0.00179,
0.43750,0.99251,0.32357,-1.33622,0.19293,0.97039,0.15946,,,0.75973,0.63719,-0.12961,-0.00184,
0.44531,0.99251,0.28801,-1.51195,0.19539,0.97185,0.16043,,,0.75969,0.63725,-0.12952,-0.00189,
0.45313,1.02715,-0.20977,-1.33622,0.19932,0.97087,0.15995,,,0.75964,0.63732,-0.12948,-0.00196,
0.46094,1.09643,0.60801,-1.16049,0.20128,0.97234,0.16576,,,0.75960,0.63739,-0.12940,-0.00199,
0.46875,1.13107,0.85691,-1.23078,0.19146,0.97136,0.15559,,,0.75956,0.63746,-0.12930,-0.00200,
0.47656,1.02715,0.85691,-1.12534,0.18851,0.97234,0.16963,,,0.75952,0.63752,-0.12921,-0.00202,
0.48438,0.88859,0.18134,-1.05505,0.19785,0.97039,0.16866,,,0.75948,0.63757,-0.12915,-0.00206,
0.49219,0.95787,0.11023,-0.98476,0.19735,0.96599,0.16673,,,0.75944,0.63763,-0.12910,-0.00209,
0.50000,0.95787,0.21690,-0.84417,0.19883,0.97039,0.16479,,,0.75940,0.63769,-0.12905,-0.00212,
0.50781,0.95787,0.03912,-0.87932,0.19441,0.97039,0.16624,,,0.75936,0.63775,-0.12901,-0.00215,
0.51563,0.95787,0.03912,-0.66844,0.19539,0.97430,0.17012,,,0.75932,0.63780,-0.12898,-0.00218,
0.52344,0.92323,-0.24533,-0.45756,0.19785,0.97332,0.16818,,,0.75928,0.63785,-0.12898,-0.00220,
0.53125,1.02715,0.03912,-0.45756,0.19637,0.97283,0.16092,,,0.75923,0.63791,-0.12895,-0.00222,
0.53906,1.20035,0.50135,-0.42241,0.19244,0.96892,0.16140,,,0.75919,0.63798,-0.12891,-0.00221,
0.54688,1.13107,0.53690,-0.31697,0.19686,0.96941,0.16189,,,0.75914,0.63804,-0.12887,-0.00219,
0.55469,1.02715,0.50135,-0.24668,0.19244,0.97821,0.16334,,,0.75910,0.63809,-0.12883,-0.00217,
0.56250,1.02715,0.14579,-0.35212,0.18950,0.97723,0.16624,,,0.75906,0.63815,-0.12881,-0.00218,
0.57031,0.85395,-0.38755,-0.10610,0.20079,0.97136,0.16189,,,0.75902,0.63820,-0.12882,-0.00219,
0.57813,0.64611,-0.56533,-0.14124,0.19834,0.96550,0.16140,,,0.75898,0.63823,-0.12885,-0.00222,
0.58594,0.68075,-0.77866,-0.10610,0.19392,0.96990,0.16140,,,0.75895,0.63827,-0.12888,-0.00225,
0.59375,0.64611,-1.13422,-0.21154,0.19539,0.96696,0.16624,,,0.75891,0.63830,-0.12893,-0.00230,
0.60156,0.61147,-1.20533,-0.17639,0.19539,0.97039,0.16866,,,0.75887,0.63833,-0.12899,-0.00236,
0.60938,0.64611,-1.13422,-0.17639,0.20276,0.97185,0.16866,,,0.75883,0.63837,-0.12904,-0.00241,
0.61719,0.78467,-0.99200,-0.17639,0.20177,0.97136,0.16382,,,0.75879,0.63841,-0.12908,-0.00246,
0.62500,0.75003,-0.81422,-0.49271,0.20128,0.97136,0.16866,,,0.75875,0.63845,-0.12910,-0.00251,
0.63281,0.85395,-0.60088,-0.49271,0.19539,0.97136,0.16431,,,0.75871,0.63850,-0.12911,-0.00256,
0.64063,0.75003,-0.28088,-0.52785,0.19834,0.97185,0.17012,,,0.75867,0.63855,-0.12911,-0.00259,
0.64844,0.71539,-0.49422,-0.35212,0.19735,0.96843,0.16576,,,0.75864,0.63859,-0.12912,-0.00262,
0.65625,0.78467,-0.49422,-0.52785,0.19735,0.97283,0.16237,,,0.75860,0.63863,-0.12912,-0.00267,
0.66406,0.92323,-0.45866,-0.45756,0.19883,0.96599,0.16479,,,0.75855,0.63868,-0.12912,-0.00270,
0.67188,0.78467,-0.74311,-0.66844,0.19637,0.96745,0.17399,,,0.75851,0.63873,-0.12913,-0.00276,
0.67969,0.75003,-0.88533,-0.63329,0.19932,0.96647,0.16576,,,0.75847,0.63877,-0.12915,-0.00283,
0.68750,0.81931,-0.99200,-0.73873,0.19981,0.97039,0.16818,,,0.75843,0.63882,-0.12917,-0.00290,
0.69531,0.68075,-1.13422,-0.77388,0.20227,0.97283,0.16624,,,0.75839,0.63886,-0.12919,-0.00298,
0.70313,0.54219,-1.09867,-0.70358,0.19883,0.96647,0.16527,,,0.75835,0.63890,-0.12922,-0.00306,
0.71094,0.71539,-0.67200,-0.98476,0.20079,0.97332,0.17302,,,0.75832,0.63894,-0.12921,-0.00314,
0.71875,0.54219,-0.63644,-1.12534,0.20276,0.97723,0.16576,,,0.75829,0.63898,-0.12920,-0.00322,
0.72656,0.50755,-0.49422,-1.12534,0.20374,0.97430,0.16624,,,0.75826,0.63902,-0.12917,-0.00329,
0.73438,0.78467,-0.20977,-1.01990,0.19981,0.97576,0.16382,,,0.75823,0.63907,-0.12914,-0.00335,
0.74219,0.88859,0.03912,-1.26593,0.19637,0.96990,0.16479,,,0.75819,0.63912,-0.12908,-0.00340,
0.75000,0.92323,-0.06755,-1.26593,0.19637,0.97039,0.16721,,,0.75815,0.63918,-0.12903,-0.00346,
0.75781,0.88859,-0.42311,-1.23078,0.19932,0.97136,0.16527,,,0.75810,0.63924,-0.12900,-0.00354,
0.76563,0.88859,-0.56533,-1.19563,0.19293,0.97576,0.16818,,,0.75806,0.63930,-0.12898,-0.00362,
0.77344,0.92323,-0.42311,-1.19563,0.19686,0.97087,0.16285,,,0.75801,0.63935,-0.12895,-0.00369,
0.78125,0.99251,-0.31644,-1.30107,0.19490,0.96990,0.16285,,,0.75797,0.63942,-0.12891,-0.00376,
0.78906,1.09643,-0.35199,-1.37137,0.20079,0.97039,0.17109,,,0.75792,0.63949,-0.12887,-0.00384,
0.79688,0.99251,-0.06755,-1.23078,0.20079,0.96941,0.17109,,,0.75787,0.63955,-0.12882,-0.00390,
0.80469,1.16571,0.18134,-1.44166,0.20570,0.97185,0.16818,,,0.75782,0.63962,-0.12874,-0.00395,
0.81250,1.20035,0.32357,-1.47680,0.20128,0.97087,0.16818,,,0.75777,0.63970,-0.12866,-0.00400,
0.82031,1.16571,0.35912,-1.44166,0.19932,0.97185,0.17205,,,0.75772,0.63977,-0.12858,-0.00405,
0.82813,1.06179,0.18134,-1.47680,0.19637,0.96696,0.16866,,,0.75768,0.63984,-0.12851,-0.00411,
0.83594,0.99251,0.28801,-1.51195,0.19932,0.97479,0.16770,,,0.75764,0.63990,-0.12843,-0.00417,
0.84375,1.06179,0.32357,-1.40651,0.19293,0.97625,0.16527,,,0.75759,0.63997,-0.12835,-0.00422,
0.85156,0.99251,0.25246,-1.37137,0.19785,0.97674,0.16673,,,0.75755,0.64003,-0.12828,-0.00427,
0.85938,0.95787,0.14579,-1.40651,0.19195,0.97527,0.16092,,,0.75751,0.64009,-0.12821,-0.00433,
0.86719,0.95787,0.32357,-1.26593,0.19097,0.97576,0.16576,,,0.75747,0.64015,-0.12814,-0.00437,
0.87500,0.95787,0.11023,-1.33622,0.19539,0.96892,0.16576,,,0.75743,0.64022,-0.12807,-0.00443,
0.88281,0.95787,-0.10310,-1.23078,0.19637,0.97185,0.16673,,,0.75739,0.64028,-0.12803,-0.00448,
0.89063,0.81931,-0.06755,-1.09019,0.19490,0.96892,0.16382,,,0.75735,0.64033,-0.12798,-0.00454,
