Gait Up - Physilog data export
Created on: YYYY-MM-DD hh:mm:ss
Total data points: 19655

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [1 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],
0.00781,0.26352,0.76877,-0.25573,0.19628,0.87647,0.43865,1020.896,27.9,0.84826,0.51628,-0.11792,0.00006,
0.01563,0.36666,0.59306,-0.25573,0.19482,0.87744,0.44204,,,0.84826,0.51630,-0.11788,0.00007,
0.02344,0.33228,0.52277,-0.43075,0.20067,0.87501,0.43962,,,0.84825,0.51632,-0.11783,0.00007,
0.03125,0.19477,0.45249,-0.32574,0.20018,0.87113,0.44737,,,0.84825,0.51634,-0.11779,0.00007,
0.03906,0.19477,0.31192,-0.43075,0.20359,0.87599,0.44543,,,0.84824,0.51635,-0.11776,0.00006,
0.04688,0.19477,0.34706,-0.43075,0.20846,0.87550,0.44156,,,0.84824,0.51637,-0.11772,0.00004,
0.05469,0.16039,0.17135,-0.53577,0.20651,0.87696,0.44785,,,0.84823,0.51638,-0.11770,0.00002,
0.06250,0.05725,0.20649,-0.67579,0.20359,0.87939,0.44834,,,0.84823,0.51639,-0.11766,-0.00001,
0.07031,-0.04588,0.17135,-0.50076,0.20359,0.87501,0.44446,,,0.84824,0.51639,-0.11763,-0.00003,
0.07813,-0.11464,0.24163,-0.57078,0.20164,0.88084,0.43914,,,0.84824,0.51639,-0.11760,-0.00006,
0.08594,-0.04588,0.24163,-0.67579,0.20554,0.87987,0.44543,,,0.84824,0.51639,-0.11756,-0.00009,
0.09375,-0.18340,0.27678,-0.64079,0.20505,0.87161,0.44107,,,0.84825,0.51639,-0.11752,-0.00012,
0.10156,-0.14902,0.27678,-0.78081,0.20992,0.86772,0.43962,,,0.84826,0.51638,-0.11748,-0.00016,
0.10938,-0.14902,0.27678,-0.57078,0.20846,0.86870,0.43720,,,0.84827,0.51638,-0.11744,-0.00018,
0.11719,-0.11464,0.38220,-0.53577,0.20798,0.86578,0.43720,,,0.84828,0.51638,-0.11740,-0.00020,
0.12500,-0.08026,0.31192,-0.43075,0.20895,0.87550,0.44107,,,0.84828,0.51638,-0.11737,-0.00021,
0.13281,-0.11464,0.24163,-0.29073,0.21090,0.86772,0.44737,,,0.84829,0.51637,-0.11734,-0.00022,
0.14063,0.05725,0.55792,-0.25573,0.21236,0.87599,0.44882,,,0.84829,0.51638,-0.11730,-0.00022,
0.14844,0.09163,0.66334,-0.11571,0.20798,0.87939,0.44349,,,0.84829,0.51638,-0.11726,-0.00020,
0.15625,0.16039,0.69848,-0.22072,0.20505,0.87210,0.44301,,,0.84829,0.51639,-0.11721,-0.00019,
0.16406,0.05725,0.83905,-0.15071,0.21334,0.87647,0.44059,,,0.84830,0.51640,-0.11716,-0.00016,
0.17188,0.12601,0.83905,-0.32574,0.20408,0.87356,0.44253,,,0.84830,0.51641,-0.11710,-0.00015,
0.17969,0.02287,0.90934,-0.25573,0.20895,0.87453,0.44495,,,0.84830,0.51641,-0.11704,-0.00014,
0.18750,-0.08026,0.97962,-0.15071,0.20846,0.87453,0.44156,,,0.84832,0.51641,-0.11697,-0.00011,
0.19531,-0.08026,0.90934,-0.15071,0.20700,0.87404,0.44059,,,0.84833,0.51641,-0.11692,-0.00009,
0.20313,-0.04588,0.90934,-0.22072,0.20213,0.87550,0.44253,,,0.84833,0.51640,-0.11686,-0.00007,
0.21094,-0.18340,0.94448,-0.08070,0.20749,0.87015,0.43575,,,0.84835,0.51639,-0.11680,-0.00004,
0.21875,-0.14902,0.97962,-0.11571,0.19774,0.87064,0.44446,,,0.84836,0.51639,-0.11674,-0.00002,
0.22656,0.05725,0.87420,-0.25573,0.20554,0.86578,0.43914,,,0.84837,0.51639,-0.11668,0.00000,
0.23438,0.29790,0.69848,-0.15071,0.20213,0.86724,0.44107,,,0.84836,0.51641,-0.11663,0.00002,
0.24219,0.40104,0.62820,-0.29073,0.20359,0.86627,0.44495,,,0.84835,0.51644,-0.11659,0.00003,
0.25000,0.50417,0.59306,-0.22072,0.20067,0.86918,0.44543,,,0.84834,0.51647,-0.11654,0.00004,
0.25781,0.77920,0.45249,-0.25573,0.19872,0.87501,0.43865,,,0.84832,0.51651,-0.11651,0.00005,
0.26563,0.91671,0.41735,-0.29073,0.19677,0.87550,0.44301,,,0.84829,0.51657,-0.11647,0.00005,
0.27344,1.08860,0.45249,-0.32574,0.19920,0.87550,0.44398,,,0.84825,0.51663,-0.11644,0.00006,
0.28125,1.19173,0.48763,-0.32574,0.20505,0.87696,0.44785,,,0.84821,0.51671,-0.11640,0.00007,
0.28906,1.15736,0.55792,-0.29073,0.20603,0.87841,0.44785,,,0.84818,0.51678,-0.11635,0.00008,
0.29688,1.15736,0.55792,-0.29073,0.20554,0.87453,0.44349,,,0.84814,0.51684,-0.11631,0.00009,
0.30469,1.19173,0.55792,-0.53577,0.20456,0.87210,0.44543,,,0.84810,0.51692,-0.11626,0.00009,
0.31250,1.15736,0.66334,-0.50076,0.20798,0.87404,0.44398,,,0.84807,0.51699,-0.11621,0.00009,
