type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,20.925
1.000,73.074
2.000,119.507
3.000,163.992
4.000,220.137
5.000,284.008
6.000,344.581
7.000,399.549
8.000,445.504
9.000,478.683
10.000,501.997
11.000,523.323
12.000,546.854
13.000,572.166
14.000,598.096
15.000,623.920
16.000,649.861
17.000,675.121
18.000,697.487
19.000,715.135
20.000,726.297
21.000,730.219
22.000,728.235
23.000,721.741
24.000,711.525
25.000,699.107
26.000,686.230
27.000,674.510
28.000,665.449
29.000,659.714
30.000,657.600
31.000,659.075
32.000,663.286
33.000,668.920
34.000,674.868
35.000,680.478
36.000,685.697
37.000,690.878
38.000,695.939
39.000,700.738
40.000,705.321
41.000,709.535
42.000,713.685
43.000,718.143
44.000,722.372
45.000,725.369
46.000,726.366
47.000,724.647
48.000,719.509
49.000,711.479
50.000,702.197
51.000,692.146
52.000,679.674
53.000,662.068
54.000,636.802
55.000,602.029
56.000,556.789
57.000,500.095
58.000,430.714
59.000,351.909
60.000,272.609
61.000,199.777
62.000,136.146
63.000,84.175
64.000,45.526
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
