type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,17.718
1.000,69.212
2.000,124.040
3.000,178.249
4.000,240.632
5.000,312.688
6.000,381.669
7.000,439.592
8.000,484.541
9.000,515.149
10.000,533.158
11.000,546.495
12.000,561.571
13.000,578.953
14.000,597.320
15.000,616.198
16.000,636.555
17.000,658.395
18.000,678.536
19.000,693.319
20.000,701.239
21.000,702.704
22.000,699.600
23.000,693.779
24.000,686.254
25.000,678.160
26.000,670.646
27.000,664.986
28.000,662.136
29.000,662.419
30.000,665.608
31.000,670.581
32.000,676.305
33.000,682.122
34.000,687.346
35.000,691.436
36.000,694.249
37.000,696.068
38.000,697.440
39.000,699.152
40.000,701.820
41.000,705.440
42.000,709.506
43.000,713.449
44.000,717.167
45.000,720.454
46.000,722.104
47.000,721.231
48.000,717.828
49.000,711.799
50.000,702.893
51.000,689.907
52.000,671.489
53.000,647.322
54.000,616.045
55.000,575.646
56.000,526.508
57.000,470.186
58.000,406.350
59.000,336.043
60.000,265.654
61.000,200.930
62.000,143.075
63.000,93.804
64.000,55.506
65.000,28.449
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
