type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,49.839
1.000,118.649
2.000,176.519
3.000,240.665
4.000,313.465
5.000,380.359
6.000,443.455
7.000,493.891
8.000,537.403
9.000,580.847
10.000,633.217
11.000,681.468
12.000,718.176
13.000,743.861
14.000,763.929
15.000,775.391
16.000,783.564
17.000,784.802
18.000,785.597
19.000,775.390
20.000,777.513
21.000,777.286
22.000,768.365
23.000,767.046
24.000,767.585
25.000,765.025
26.000,760.684
27.000,752.529
28.000,737.763
29.000,720.074
30.000,726.180
31.000,731.344
32.000,736.358
33.000,742.258
34.000,748.182
35.000,751.840
36.000,752.208
37.000,750.016
38.000,747.236
39.000,749.024
40.000,759.922
41.000,775.937
42.000,789.010
43.000,797.181
44.000,801.574
45.000,801.674
46.000,795.143
47.000,779.057
48.000,763.601
49.000,756.375
50.000,753.838
51.000,748.558
52.000,740.525
53.000,729.846
54.000,716.303
55.000,695.831
56.000,670.280
57.000,633.351
58.000,582.486
59.000,517.704
60.000,444.299
61.000,370.748
62.000,293.919
63.000,211.836
64.000,136.926
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
