type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,43.346
1.000,107.723
2.000,162.188
3.000,230.202
4.000,313.799
5.000,419.460
6.000,515.882
7.000,592.057
8.000,643.966
9.000,667.682
10.000,669.812
11.000,687.079
12.000,713.493
13.000,732.727
14.000,746.724
15.000,755.220
16.000,762.437
17.000,774.038
18.000,779.353
19.000,775.393
20.000,763.726
21.000,746.398
22.000,745.509
23.000,746.508
24.000,740.669
25.000,731.198
26.000,720.342
27.000,711.559
28.000,700.412
29.000,688.779
30.000,690.926
31.000,707.606
32.000,725.582
33.000,740.485
34.000,752.632
35.000,760.433
36.000,761.772
37.000,762.258
38.000,767.560
39.000,773.114
40.000,775.800
41.000,779.023
42.000,781.794
43.000,781.119
44.000,777.338
45.000,773.155
46.000,770.177
47.000,766.092
48.000,759.347
49.000,759.368
50.000,753.112
51.000,740.527
52.000,719.251
53.000,717.845
54.000,709.935
55.000,695.808
56.000,671.318
57.000,634.779
58.000,590.159
59.000,547.084
60.000,501.115
61.000,445.692
62.000,374.107
63.000,292.580
64.000,216.742
65.000,157.254
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
