type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,31.487
1.000,88.543
2.000,135.954
3.000,185.654
4.000,250.615
5.000,322.310
6.000,387.093
7.000,442.205
8.000,485.935
9.000,517.976
10.000,544.232
11.000,570.413
12.000,597.474
13.000,624.542
14.000,650.438
15.000,673.986
16.000,695.716
17.000,715.229
18.000,730.417
19.000,740.599
20.000,746.882
21.000,749.695
22.000,749.157
23.000,745.287
24.000,737.143
25.000,725.139
26.000,711.326
27.000,697.905
28.000,686.958
29.000,680.117
30.000,678.269
31.000,680.682
32.000,685.708
33.000,692.012
34.000,698.381
35.000,703.726
36.000,708.046
37.000,712.110
38.000,716.051
39.000,720.039
40.000,724.080
41.000,728.065
42.000,732.276
43.000,736.530
44.000,740.615
45.000,743.678
46.000,744.845
47.000,743.618
48.000,740.162
49.000,735.747
50.000,731.182
51.000,725.600
52.000,716.746
53.000,702.958
54.000,682.922
55.000,655.109
56.000,617.879
57.000,569.346
58.000,507.435
59.000,432.530
60.000,350.648
61.000,269.532
62.000,194.181
63.000,129.297
64.000,77.642
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
