type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,26.879
1.000,85.191
2.000,143.552
3.000,201.305
4.000,271.014
5.000,351.007
6.000,425.526
7.000,487.098
8.000,533.272
9.000,561.778
10.000,575.917
11.000,586.428
12.000,601.405
13.000,620.094
14.000,639.173
15.000,657.244
16.000,674.728
17.000,692.131
18.000,707.206
19.000,716.599
20.000,720.732
21.000,721.682
22.000,719.643
23.000,715.110
24.000,708.268
25.000,699.601
26.000,690.482
27.000,682.797
28.000,678.113
29.000,677.649
30.000,681.331
31.000,687.324
32.000,693.876
33.000,699.893
34.000,704.977
35.000,708.733
36.000,710.988
37.000,712.590
38.000,714.317
39.000,716.517
40.000,719.586
41.000,723.352
42.000,726.851
43.000,729.346
44.000,731.442
45.000,733.589
46.000,735.127
47.000,735.336
48.000,733.683
49.000,730.146
50.000,724.099
51.000,714.445
52.000,700.243
53.000,681.071
54.000,656.503
55.000,625.282
56.000,586.634
57.000,540.359
58.000,484.763
59.000,419.278
60.000,348.848
61.000,278.574
62.000,210.739
63.000,149.324
64.000,98.478
65.000,58.621
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
