type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,10.363
1.000,57.606
2.000,103.060
3.000,142.330
4.000,189.660
5.000,245.706
6.000,302.070
7.000,356.894
8.000,405.072
9.000,439.390
10.000,459.763
11.000,476.233
12.000,496.233
13.000,519.790
14.000,545.754
15.000,573.854
16.000,604.005
17.000,635.013
18.000,664.558
19.000,689.672
20.000,705.711
21.000,710.743
22.000,707.314
23.000,698.195
24.000,685.906
25.000,673.075
26.000,661.134
27.000,651.115
28.000,643.940
29.000,639.311
30.000,636.931
31.000,637.468
32.000,640.864
33.000,645.827
34.000,651.354
35.000,657.230
36.000,663.349
37.000,669.646
38.000,675.826
39.000,681.437
40.000,686.561
41.000,691.006
42.000,695.094
43.000,699.755
44.000,704.130
45.000,707.059
46.000,707.886
47.000,705.676
48.000,698.856
49.000,687.211
50.000,673.212
51.000,658.693
52.000,642.601
53.000,621.178
54.000,590.681
55.000,548.949
56.000,495.699
57.000,430.844
58.000,353.993
59.000,271.288
60.000,194.570
61.000,130.022
62.000,78.112
63.000,39.053
64.000,13.410
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
