type,name,time_units,begin_time,frequency,count,units
signal,"Force curve","%",0.000,1,100,"N"

time,value
0.000,8.557
1.000,53.233
2.000,104.528
3.000,155.193
4.000,210.249
5.000,274.369
6.000,337.812
7.000,392.086
8.000,435.810
9.000,468.519
10.000,490.399
11.000,506.562
12.000,521.737
13.000,537.813
14.000,555.468
15.000,575.151
16.000,598.383
17.000,624.659
18.000,649.867
19.000,670.040
20.000,681.745
21.000,683.726
22.000,679.557
23.000,672.448
24.000,664.241
25.000,656.719
26.000,650.810
27.000,647.176
28.000,646.160
29.000,647.188
30.000,649.885
31.000,653.837
32.000,658.734
33.000,664.352
34.000,669.715
35.000,674.140
36.000,677.510
37.000,679.547
38.000,680.562
39.000,681.787
40.000,684.053
41.000,687.527
42.000,692.162
43.000,697.552
44.000,702.891
45.000,707.320
46.000,709.080
47.000,707.126
48.000,701.973
49.000,693.453
50.000,681.687
51.000,665.370
52.000,642.735
53.000,613.573
54.000,575.587
55.000,526.010
56.000,466.382
57.000,400.012
58.000,327.937
59.000,252.808
60.000,182.459
61.000,123.286
62.000,75.412
63.000,38.285
64.000,12.534
65.000,-1.723
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
