type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,3.719
1.000,7.209
2.000,9.449
3.000,10.631
4.000,11.631
5.000,12.402
6.000,12.695
7.000,12.790
8.000,12.866
9.000,12.883
10.000,12.842
11.000,12.826
12.000,12.898
13.000,13.029
14.000,13.144
15.000,13.222
16.000,13.307
17.000,13.410
18.000,13.493
19.000,13.522
20.000,13.461
21.000,13.283
22.000,12.982
23.000,12.583
24.000,12.127
25.000,11.637
26.000,11.139
27.000,10.680
28.000,10.275
29.000,9.923
30.000,9.644
31.000,9.437
32.000,9.279
33.000,9.142
34.000,9.020
35.000,8.925
36.000,8.856
37.000,8.786
38.000,8.704
39.000,8.624
40.000,8.552
41.000,8.503
42.000,8.494
43.000,8.526
44.000,8.608
45.000,8.778
46.000,9.076
47.000,9.494
48.000,10.006
49.000,10.576
50.000,11.169
51.000,11.766
52.000,12.327
53.000,12.827
54.000,13.259
55.000,13.595
56.000,13.829
57.000,13.934
58.000,13.866
59.000,13.591
60.000,13.053
61.000,12.127
62.000,10.577
63.000,8.295
64.000,5.608
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
