type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,3.434
1.000,6.911
2.000,9.433
3.000,10.998
4.000,12.174
5.000,12.852
6.000,12.904
7.000,12.761
8.000,12.668
9.000,12.545
10.000,12.372
11.000,12.249
12.000,12.212
13.000,12.210
14.000,12.224
15.000,12.262
16.000,12.338
17.000,12.449
18.000,12.542
19.000,12.550
20.000,12.449
21.000,12.247
22.000,11.956
23.000,11.618
24.000,11.264
25.000,10.913
26.000,10.589
27.000,10.292
28.000,10.017
29.000,9.777
30.000,9.573
31.000,9.394
32.000,9.241
33.000,9.104
34.000,8.976
35.000,8.850
36.000,8.715
37.000,8.589
38.000,8.498
39.000,8.447
40.000,8.462
41.000,8.562
42.000,8.735
43.000,8.979
44.000,9.306
45.000,9.698
46.000,10.131
47.000,10.612
48.000,11.154
49.000,11.717
50.000,12.262
51.000,12.808
52.000,13.334
53.000,13.808
54.000,14.246
55.000,14.634
56.000,14.899
57.000,14.983
58.000,14.808
59.000,14.263
60.000,13.317
61.000,12.014
62.000,10.298
63.000,8.178
64.000,5.869
65.000,3.659
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
