type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,6.366
1.000,10.675
2.000,13.195
3.000,15.001
4.000,16.592
5.000,17.206
6.000,17.023
7.000,16.493
8.000,16.097
9.000,16.198
10.000,16.483
11.000,16.768
12.000,17.171
13.000,17.791
14.000,18.429
15.000,18.613
16.000,18.396
17.000,18.246
18.000,18.213
19.000,18.062
20.000,17.627
21.000,17.058
22.000,16.707
23.000,16.539
24.000,16.188
25.000,15.602
26.000,15.147
27.000,14.811
28.000,14.660
29.000,14.492
30.000,14.121
31.000,13.734
32.000,13.600
33.000,13.482
34.000,13.179
35.000,12.792
36.000,12.354
37.000,11.916
38.000,11.579
39.000,11.203
40.000,11.069
41.000,10.768
42.000,10.945
43.000,11.271
44.000,11.604
45.000,11.920
46.000,12.469
47.000,13.186
48.000,13.768
49.000,14.350
50.000,15.199
51.000,16.415
52.000,17.675
53.000,18.414
54.000,19.049
55.000,20.311
56.000,21.135
57.000,21.220
58.000,20.883
59.000,20.311
60.000,19.285
61.000,17.232
62.000,14.979
63.000,13.280
64.000,11.021
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
