type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,5.964
1.000,9.509
2.000,11.937
3.000,13.572
4.000,15.594
5.000,17.031
6.000,17.466
7.000,17.416
8.000,17.065
9.000,16.381
10.000,15.788
11.000,15.404
12.000,15.037
13.000,14.871
14.000,14.989
15.000,15.024
16.000,14.858
17.000,14.624
18.000,14.491
19.000,14.442
20.000,14.292
21.000,14.143
22.000,14.227
23.000,14.413
24.000,14.481
25.000,14.549
26.000,14.802
27.000,15.071
28.000,15.105
29.000,15.006
30.000,14.855
31.000,14.839
32.000,15.141
33.000,15.343
34.000,15.310
35.000,15.260
36.000,15.075
37.000,14.924
38.000,14.908
39.000,14.757
40.000,14.505
41.000,14.371
42.000,14.387
43.000,14.320
44.000,14.102
45.000,14.244
46.000,14.663
47.000,15.309
48.000,16.054
49.000,17.098
50.000,18.174
51.000,19.036
52.000,19.930
53.000,20.841
54.000,21.471
55.000,21.836
56.000,21.952
57.000,21.803
58.000,21.290
59.000,20.147
60.000,19.097
61.000,17.776
62.000,15.720
63.000,13.151
64.000,11.554
65.000,9.082
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
