type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,4.750
1.000,8.265
2.000,10.392
3.000,11.713
4.000,12.966
5.000,13.881
6.000,14.221
7.000,14.310
8.000,14.342
9.000,14.302
10.000,14.199
11.000,14.155
12.000,14.240
13.000,14.375
14.000,14.478
15.000,14.537
16.000,14.603
17.000,14.701
18.000,14.807
19.000,14.897
20.000,14.913
21.000,14.793
22.000,14.537
23.000,14.187
24.000,13.762
25.000,13.262
26.000,12.730
27.000,12.226
28.000,11.770
29.000,11.374
30.000,11.059
31.000,10.820
32.000,10.629
33.000,10.458
34.000,10.286
35.000,10.133
36.000,10.012
37.000,9.907
38.000,9.796
39.000,9.671
40.000,9.554
41.000,9.472
42.000,9.462
43.000,9.524
44.000,9.652
45.000,9.849
46.000,10.156
47.000,10.595
48.000,11.129
49.000,11.726
50.000,12.409
51.000,13.151
52.000,13.856
53.000,14.533
54.000,15.211
55.000,15.793
56.000,16.191
57.000,16.389
58.000,16.350
59.000,15.976
60.000,15.270
61.000,14.327
62.000,12.976
63.000,10.896
64.000,8.189
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
