type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,4.374
1.000,8.073
2.000,10.613
3.000,12.169
4.000,13.462
5.000,14.245
6.000,14.354
7.000,14.201
8.000,14.032
9.000,13.803
10.000,13.518
11.000,13.306
12.000,13.226
13.000,13.219
14.000,13.229
15.000,13.218
16.000,13.232
17.000,13.305
18.000,13.389
19.000,13.397
20.000,13.298
21.000,13.135
22.000,12.924
23.000,12.659
24.000,12.344
25.000,12.026
26.000,11.747
27.000,11.501
28.000,11.260
29.000,11.037
30.000,10.850
31.000,10.674
32.000,10.528
33.000,10.414
34.000,10.310
35.000,10.190
36.000,10.025
37.000,9.868
38.000,9.764
39.000,9.689
40.000,9.672
41.000,9.783
42.000,9.993
43.000,10.258
44.000,10.631
45.000,11.122
46.000,11.643
47.000,12.188
48.000,12.834
49.000,13.539
50.000,14.203
51.000,14.847
52.000,15.504
53.000,16.155
54.000,16.786
55.000,17.315
56.000,17.633
57.000,17.699
58.000,17.464
59.000,16.875
60.000,15.953
61.000,14.760
62.000,13.157
63.000,11.062
64.000,8.674
65.000,6.156
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
