type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,2.687
1.000,6.154
2.000,8.506
3.000,9.549
4.000,10.297
5.000,10.924
6.000,11.170
7.000,11.270
8.000,11.390
9.000,11.464
10.000,11.485
11.000,11.497
12.000,11.556
13.000,11.684
14.000,11.810
15.000,11.906
16.000,12.011
17.000,12.119
18.000,12.179
19.000,12.147
20.000,12.010
21.000,11.773
22.000,11.428
23.000,10.980
24.000,10.491
25.000,10.012
26.000,9.547
27.000,9.134
28.000,8.780
29.000,8.472
30.000,8.229
31.000,8.054
32.000,7.929
33.000,7.827
34.000,7.754
35.000,7.717
36.000,7.701
37.000,7.665
38.000,7.611
39.000,7.576
40.000,7.551
41.000,7.533
42.000,7.526
43.000,7.528
44.000,7.564
45.000,7.708
46.000,7.996
47.000,8.394
48.000,8.884
49.000,9.426
50.000,9.930
51.000,10.382
52.000,10.797
53.000,11.122
54.000,11.306
55.000,11.397
56.000,11.467
57.000,11.479
58.000,11.382
59.000,11.207
60.000,10.837
61.000,9.926
62.000,8.178
63.000,5.695
64.000,3.026
65.000,0.000
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
