type,name,time_units,begin_time,frequency,count,units
signal,"Max Pressure Curve","%",0.000,1,100,"N/cm²"

time,value
0.000,2.495
1.000,5.749
2.000,8.253
3.000,9.826
4.000,10.886
5.000,11.458
6.000,11.454
7.000,11.322
8.000,11.303
9.000,11.288
10.000,11.226
11.000,11.192
12.000,11.197
13.000,11.201
14.000,11.219
15.000,11.305
16.000,11.443
17.000,11.593
18.000,11.696
19.000,11.702
20.000,11.601
21.000,11.359
22.000,10.988
23.000,10.577
24.000,10.183
25.000,9.800
26.000,9.430
27.000,9.083
28.000,8.774
29.000,8.516
30.000,8.296
31.000,8.115
32.000,7.953
33.000,7.794
34.000,7.642
35.000,7.509
36.000,7.404
37.000,7.311
38.000,7.232
39.000,7.205
40.000,7.251
41.000,7.341
42.000,7.476
43.000,7.701
44.000,7.982
45.000,8.274
46.000,8.620
47.000,9.035
48.000,9.475
49.000,9.895
50.000,10.321
51.000,10.769
52.000,11.164
53.000,11.461
54.000,11.707
55.000,11.952
56.000,12.165
57.000,12.266
58.000,12.152
59.000,11.651
60.000,10.681
61.000,9.268
62.000,7.439
63.000,5.294
64.000,3.063
65.000,1.163
66.000,0.000
67.000,0.000
68.000,0.000
69.000,0.000
70.000,0.000
71.000,0.000
72.000,0.000
73.000,0.000
74.000,0.000
75.000,0.000
76.000,0.000
77.000,0.000
78.000,0.000
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
