type,name,time_units,begin_time,frequency,count,units
signal,"LT Force curve","%",0.000,1,100,"N"

time,value
0.000,0.000
1.000,0.000
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.000
6.000,0.000
7.000,0.000
8.000,0.000
9.000,0.000
10.000,0.000
11.000,0.010
12.000,0.075
13.000,0.329
14.000,1.038
15.000,2.456
16.000,4.530
17.000,7.044
18.000,10.059
19.000,13.594
20.000,17.553
21.000,21.970
22.000,26.836
23.000,32.589
24.000,39.075
25.000,45.354
26.000,51.783
27.000,58.418
28.000,64.568
29.000,70.274
30.000,75.660
31.000,80.679
32.000,85.127
33.000,89.437
34.000,93.876
35.000,98.607
36.000,103.638
37.000,108.025
38.000,112.490
39.000,117.640
40.000,122.317
41.000,127.049
42.000,133.017
43.000,139.206
44.000,144.638
45.000,150.338
46.000,157.092
47.000,163.881
48.000,170.705
49.000,178.338
50.000,185.127
51.000,191.049
52.000,197.954
53.000,205.269
54.000,212.310
55.000,219.935
56.000,228.122
57.000,236.031
58.000,244.441
59.000,253.721
60.000,262.965
61.000,272.076
62.000,282.309
63.000,294.742
64.000,307.338
65.000,319.477
66.000,333.619
67.000,349.340
68.000,364.835
69.000,381.746
70.000,401.254
71.000,420.476
72.000,440.010
73.000,462.587
74.000,486.313
75.000,509.127
76.000,531.676
77.000,554.813
78.000,577.122
79.000,596.287
80.000,610.803
81.000,618.519
82.000,617.901
83.000,608.893
84.000,591.895
85.000,567.486
86.000,535.706
87.000,496.972
88.000,451.927
89.000,401.434
90.000,347.604
91.000,292.462
92.000,238.896
93.000,189.939
94.000,145.414
95.000,105.228
96.000,72.201
97.000,47.605
98.000,28.123
99.000,9.587
