type,name,time_units,begin_time,frequency,count,units
signal,"RT Force curve","%",0.000,1,100,"N"

time,value
0.000,0.000
1.000,0.000
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.000
6.000,0.000
7.000,0.000
8.000,0.000
9.000,0.000
10.000,0.000
11.000,0.025
12.000,0.163
13.000,0.549
14.000,1.364
15.000,2.701
16.000,4.583
17.000,7.230
18.000,10.642
19.000,14.488
20.000,18.750
21.000,23.510
22.000,28.652
23.000,34.409
24.000,41.029
25.000,47.763
26.000,53.976
27.000,60.663
28.000,67.786
29.000,73.577
30.000,78.674
31.000,84.221
32.000,89.320
33.000,94.193
34.000,99.752
35.000,105.391
36.000,110.404
37.000,115.843
38.000,122.414
39.000,128.879
40.000,135.363
41.000,142.572
42.000,149.824
43.000,157.348
44.000,165.484
45.000,173.258
46.000,180.888
47.000,189.916
48.000,199.436
49.000,207.697
50.000,215.505
51.000,224.269
52.000,233.506
53.000,242.197
54.000,251.137
55.000,260.539
56.000,269.427
57.000,278.204
58.000,288.191
59.000,299.211
60.000,310.125
61.000,321.881
62.000,335.723
63.000,350.884
64.000,366.261
65.000,382.608
66.000,401.084
67.000,420.067
68.000,439.528
69.000,460.422
70.000,480.936
71.000,502.269
72.000,525.185
73.000,547.134
74.000,567.103
75.000,585.338
76.000,602.134
77.000,615.254
78.000,623.274
79.000,627.381
80.000,626.320
81.000,618.880
82.000,605.312
83.000,585.459
84.000,559.604
85.000,528.169
86.000,491.707
87.000,450.866
88.000,406.048
89.000,358.136
90.000,308.097
91.000,257.590
92.000,210.765
93.000,169.916
94.000,131.859
95.000,94.904
96.000,63.439
97.000,40.725
98.000,23.783
99.000,8.265
