type,name,time_units,begin_time,frequency,count,units
signal,"LT Force curve","%",0.000,1,100,"N"

time,value
0.000,20.928
1.000,55.627
2.000,90.263
3.000,117.495
4.000,139.426
5.000,167.023
6.000,204.100
7.000,246.161
8.000,285.506
9.000,315.331
10.000,332.414
11.000,337.319
12.000,333.968
13.000,326.695
14.000,319.824
15.000,315.223
16.000,311.336
17.000,309.189
18.000,309.000
19.000,309.680
20.000,311.382
21.000,312.494
22.000,313.729
23.000,314.662
24.000,314.228
25.000,315.100
26.000,315.972
27.000,315.830
28.000,316.322
29.000,316.819
30.000,315.917
31.000,313.139
32.000,309.873
33.000,305.307
34.000,299.204
35.000,291.967
36.000,283.354
37.000,275.741
38.000,267.529
39.000,257.513
40.000,248.792
41.000,240.751
42.000,231.575
43.000,223.058
44.000,216.985
45.000,211.552
46.000,205.330
47.000,200.516
48.000,196.620
49.000,191.564
50.000,187.916
51.000,185.812
52.000,182.293
53.000,177.931
54.000,174.091
55.000,169.726
56.000,164.384
57.000,159.595
58.000,154.560
59.000,148.517
60.000,142.780
61.000,137.537
62.000,131.417
63.000,123.451
64.000,115.433
65.000,108.054
66.000,99.601
67.000,90.281
68.000,81.161
69.000,71.439
70.000,60.516
71.000,49.855
72.000,39.919
73.000,29.891
74.000,20.493
75.000,13.161
76.000,7.934
77.000,4.127
78.000,1.739
79.000,0.647
80.000,0.225
81.000,0.060
82.000,0.008
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
