type,name,time_units,begin_time,frequency,count,units
signal,"RT Force curve","%",0.000,1,100,"N"

time,value
0.000,17.938
1.000,48.663
2.000,84.519
3.000,120.276
4.000,152.429
5.000,185.342
6.000,224.728
7.000,270.448
8.000,313.228
9.000,342.196
10.000,352.867
11.000,349.363
12.000,340.170
13.000,328.931
14.000,316.346
15.000,306.588
16.000,300.839
17.000,294.781
18.000,289.677
19.000,288.233
20.000,287.051
21.000,285.033
22.000,284.498
23.000,285.367
24.000,284.701
25.000,283.335
26.000,285.001
27.000,285.295
28.000,282.317
29.000,281.863
30.000,280.637
31.000,275.183
32.000,270.311
33.000,266.230
34.000,259.487
35.000,251.380
36.000,244.947
37.000,237.474
38.000,227.414
39.000,219.136
40.000,211.695
41.000,202.692
42.000,195.048
43.000,189.104
44.000,182.833
45.000,176.960
46.000,172.770
47.000,168.144
48.000,162.106
49.000,157.488
50.000,153.973
51.000,148.829
52.000,142.792
53.000,137.458
54.000,131.927
55.000,125.615
56.000,119.413
57.000,113.747
58.000,107.381
59.000,99.906
60.000,92.876
61.000,86.079
62.000,78.177
63.000,69.629
64.000,61.863
65.000,54.287
66.000,45.595
67.000,37.160
68.000,29.751
69.000,22.800
70.000,16.708
71.000,11.360
72.000,6.892
73.000,3.836
74.000,1.991
75.000,1.008
76.000,0.442
77.000,0.109
78.000,0.010
79.000,0.000
80.000,0.000
81.000,0.000
82.000,0.000
83.000,0.000
84.000,0.000
85.000,0.000
86.000,0.000
87.000,0.000
88.000,0.000
89.000,0.000
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
