type,name,time_units,begin_time,frequency,count,units
signal,"LT Force curve","%",0.000,1,100,"N"

time,value
0.000,0.000
1.000,0.000
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.000
6.000,0.020
7.000,0.576
8.000,4.353
9.000,15.426
10.000,36.736
11.000,67.709
12.000,102.852
13.000,135.829
14.000,161.663
15.000,179.588
16.000,194.448
17.000,208.082
18.000,220.387
19.000,232.059
20.000,242.850
21.000,254.008
22.000,264.714
23.000,275.320
24.000,286.938
25.000,296.802
26.000,305.752
27.000,314.678
28.000,321.595
29.000,326.515
30.000,330.461
31.000,333.814
32.000,335.231
33.000,335.084
34.000,333.855
35.000,331.761
36.000,329.666
37.000,326.073
38.000,321.670
39.000,317.832
40.000,313.623
41.000,309.308
42.000,305.873
43.000,302.948
44.000,299.782
45.000,297.204
46.000,295.780
47.000,294.466
48.000,293.678
49.000,294.270
50.000,294.609
51.000,294.271
52.000,294.592
53.000,295.264
54.000,295.352
55.000,295.402
56.000,295.935
57.000,296.159
58.000,296.278
59.000,296.461
60.000,295.997
61.000,295.122
62.000,294.151
63.000,292.672
64.000,290.751
65.000,288.790
66.000,286.346
67.000,282.976
68.000,279.058
69.000,273.763
70.000,266.033
71.000,257.096
72.000,245.852
73.000,230.182
74.000,211.307
75.000,190.362
76.000,167.100
77.000,141.320
78.000,114.313
79.000,87.898
80.000,63.644
81.000,43.847
82.000,29.061
83.000,18.015
84.000,10.043
85.000,4.862
86.000,1.982
87.000,0.648
88.000,0.149
89.000,0.023
90.000,0.002
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
