type,name,time_units,begin_time,frequency,count,units
signal,"RT Force curve","%",0.000,1,100,"N"

time,value
0.000,0.000
1.000,0.000
2.000,0.000
3.000,0.000
4.000,0.000
5.000,0.000
6.000,0.112
7.000,1.854
8.000,9.169
9.000,26.662
10.000,57.305
11.000,97.505
12.000,137.630
13.000,172.731
14.000,201.814
15.000,221.332
16.000,232.972
17.000,244.160
18.000,255.252
19.000,263.927
20.000,272.749
21.000,282.286
22.000,290.438
23.000,297.426
24.000,305.627
25.000,314.108
26.000,320.255
27.000,327.413
28.000,335.803
29.000,339.784
30.000,341.516
31.000,343.992
32.000,343.878
33.000,341.225
34.000,339.147
35.000,337.198
36.000,333.585
37.000,330.436
38.000,328.489
39.000,324.705
40.000,320.864
41.000,319.290
42.000,317.334
43.000,314.681
44.000,313.516
45.000,313.606
46.000,312.966
47.000,311.971
48.000,312.189
49.000,312.441
50.000,311.926
51.000,311.725
52.000,311.749
53.000,311.150
54.000,309.841
55.000,308.360
56.000,306.870
57.000,304.711
58.000,301.907
59.000,299.295
60.000,296.963
61.000,294.157
62.000,290.775
63.000,287.018
64.000,282.363
65.000,276.308
66.000,269.022
67.000,261.103
68.000,251.345
69.000,239.119
70.000,225.577
71.000,208.854
72.000,188.506
73.000,167.133
74.000,145.447
75.000,123.317
76.000,100.789
77.000,79.910
78.000,61.810
79.000,44.691
80.000,29.729
81.000,18.956
82.000,11.443
83.000,6.082
84.000,2.744
85.000,1.108
86.000,0.393
87.000,0.099
88.000,0.016
89.000,0.001
90.000,0.000
91.000,0.000
92.000,0.000
93.000,0.000
94.000,0.000
95.000,0.000
96.000,0.000
97.000,0.000
98.000,0.000
99.000,0.000
